investigation_id,description,investigation_process,authority,cfr_citation,framework_version,old_investigation_id,status
OI-001-v2,OCR Complaint Investigation,"Complaint received, preliminary review, entity notification, information gathering, investigation, determination",HHS Office for Civil Rights (OCR),45 CFR 160.300-308,HIPAA_2026_v2,OI-001,Active
OI-002-v2,Breach Investigation,"Breach report received, scope determination, entity interview, documentation request, findings determination",OCR with law enforcement coordination as needed,45 CFR 164.404,HIPAA_2026_v2,OI-002,Active
OI-003-v2,Compliance Review Investigation,"Proactive compliance review, entity examination, system access review, interviews, findings report",OCR conducted on-site or desk review,45 CFR 160.300,HIPAA_2026_v2,OI-003,Active
OI-004-v2,Business Associate Investigation,"Investigation triggered by BA complaints, access to PHI, subcontractor oversight issues",OCR with potential covered entity involvement,45 CFR 164.504(e),HIPAA_2026_v2,OI-004,Active
OI-005-v2,Willful Violation Investigation,"Investigation of intentional knowing or reckless HIPAA violations, enhanced scrutiny, potential criminal referral",OCR with DOJ coordination for criminal violations,45 CFR 160.400,HIPAA_2026_v2,OI-005,Active
OI-006-v2,Pattern or Practice Investigation,"Multi-year investigation into systematic HIPAA violations, multiple incidents or entities, comprehensive review",OCR and potentially state attorneys general,45 CFR 160.300,HIPAA_2026_v2,OI-006,Active
OI-007-v2,Post-Settlement Monitoring,Follow-up investigation to verify entity compliance with settlement agreement and corrective actions,OCR for 1-3 year period post-settlement,45 CFR 160.300,HIPAA_2026_v2,OI-007,Active
OI-008-v2,Coordinated Investigation,Investigation conducted jointly with state attorney general or other government agencies,OCR with state and federal coordination,45 CFR 160.300,HIPAA_2026_v2,OI-008,Active
OI-009-v2,Urgent Investigation,"Expedited investigation of serious breaches or ongoing violations, faster timeline and intensive review",OCR with priority status,45 CFR 164.404,HIPAA_2026_v2,OI-009,Active
OI-010-v2,Criminal Investigation,Referral to Department of Justice for investigation of criminal HIPAA violations including fraud and willful injury,DOJ with OCR support,42 USC 1320d-6,HIPAA_2026_v2,OI-010,Active
