rule_id,node_type,node_id,name,description,category,type,properties_count,regulated,cfr_citation,industry_standard_regulation_id,sensitivity_level,parent_node
ORG_GOV_1,OrganizationStructure,ORGANIZATION_STRUCTURE,Organization Structure,"Organizational structure and hierarchy that defines roles, responsibilities, and reporting relationships for HIPAA compliance. Includes designations of responsibility and authority levels.",Organization Structure,Structure,45,true,45 CFR §164.308,HIPAA 1996,High,HIPAA_1996
ORG_GOV_2,GovernanceFramework,GOVERNANCE_FRAMEWORK,Governance Framework,"System of rules, procedures, and practices that direct and control organizational activities related to HIPAA compliance. Includes policies, governance committees, and decision-making processes.",Governance Framework,Framework,42,true,45 CFR §164.308,HIPAA 1996,High,HIPAA 1996
ORG_GOV_3,BoardOfDirectors,BOARD_OVERSIGHT,Board of Directors Oversight,"Board-level oversight and governance responsibility for HIPAA compliance. Board must establish and monitor compliance program, receive reports, and ensure adequate resources.",Board of Directors,Governance,8,true,45 CFR §164.308,HIPAA 1996,Very High,HIPAA_1996
ORG_GOV_4,ExecutiveManagement,EXECUTIVE_MANAGEMENT,Executive Management,"Senior management responsible for implementing HIPAA policies, allocating resources, and ensuring organization-wide compliance. Includes C-suite oversight and strategic direction.",Executive Management,Management,8,true,45 CFR §164.308,HIPAA 1996,Very High,HIPAA_1996
ORG_GOV_5,DepartmentStructure,PRIVACY_OFFICE,Privacy Office,"Dedicated office/function responsible for overseeing privacy compliance. Manages privacy notices, authorizations, individual requests, and privacy incident response.",Department Structure,Department,7,true,45 CFR §164.500-534,HIPAA 1996,High,ORGANIZATION_STRUCTURE
ORG_GOV_6,DepartmentStructure,SECURITY_OFFICE,Security Office,"Dedicated office/function responsible for security compliance including access controls, encryption, audit logging, and security incident response.",Department Structure,Department,7,true,45 CFR §164.302-318,HIPAA 1996,High,ORGANIZATION_STRUCTURE
ORG_GOV_7,DepartmentStructure,COMPLIANCE_OFFICE,Compliance Office,"Dedicated office/function responsible for overall HIPAA compliance program management, audit procedures, sanctions, and compliance monitoring.",Department Structure,Department,7,true,45 CFR §164.308,HIPAA 1996,High,ORGANIZATION_STRUCTURE
ORG_GOV_8,RoleAndResponsibility,COMPLIANCE_OFFICER_ROLE,Compliance Officer Role,"Defined role responsible for compliance program development, implementation, and oversight. Reports to executive leadership. Authority to implement policies.",Role and Responsibility,Role,8,true,45 CFR §164.308,HIPAA 1996,High,ORGANIZATION_STRUCTURE
ORG_GOV_9,RoleAndResponsibility,PRIVACY_OFFICER_ROLE,Privacy Officer Role,"Defined role responsible for privacy compliance including policy development, privacy notices, authorization management, and individual rights fulfillment.",Role and Responsibility,Role,7,true,45 CFR §164.500-534,HIPAA 1996,High,ORGANIZATION_STRUCTURE
ORG_GOV_10,RoleAndResponsibility,SECURITY_OFFICER_ROLE,Security Officer Role,"Defined role responsible for security safeguards implementation including technical controls, access management, and security monitoring.",Role and Responsibility,Role,7,true,45 CFR §164.302-318,HIPAA 1996,High,ORGANIZATION_STRUCTURE
ORG_GOV_11,CommitteeStructure,COMPLIANCE_COMMITTEE,Compliance Committee,"Committee structure for coordinating compliance activities across organization. Includes representatives from privacy, security, operations, and compliance functions.",Committee Structure,Committee,7,true,45 CFR §164.308,HIPAA 1996,Medium,GOVERNANCE_FRAMEWORK
ORG_GOV_12,CommitteeStructure,INCIDENT_RESPONSE_TEAM,Incident Response Team,"Designated team responsible for responding to security incidents and breaches. Includes investigation, mitigation, notification, and post-incident review procedures.",Committee Structure,Team,8,true,45 CFR §164.308-404,HIPAA 1996,High,GOVERNANCE_FRAMEWORK
ORG_GOV_13,PolicyAndProcedures,POLICY_DEVELOPMENT,Policy Development Process,"Standardized process for developing, approving, implementing, and maintaining HIPAA compliance policies. Includes version control, stakeholder review, and documentation.",Policy and Procedures,Process,7,true,45 CFR §164.308,HIPAA 1996,High,GOVERNANCE_FRAMEWORK
ORG_GOV_14,PolicyAndProcedures,CHANGE_MANAGEMENT,Change Management Procedures,"Procedures for managing changes to systems, processes, or policies affecting HIPAA compliance. Includes impact assessment, testing, and approval requirements.",Policy and Procedures,Procedures,7,true,45 CFR §164.308,HIPAA 1996,High,GOVERNANCE_FRAMEWORK
ORG_GOV_15,ResourceAllocation,BUDGET_ALLOCATION,Budget Allocation for Compliance,"Designated budget allocation for HIPAA compliance activities including safeguards implementation, training, audits, and incident response capabilities.",Resource Allocation,Allocation,6,true,45 CFR §164.308,HIPAA 1996,Medium,ORGANIZATION_STRUCTURE
ORG_GOV_16,StakeholderEngagement,WORKFORCE_ENGAGEMENT,Workforce Engagement Strategy,"Strategy for engaging workforce in HIPAA compliance including communication, training, reporting mechanisms, and accountability measures.",Stakeholder Engagement,Strategy,7,true,45 CFR §164.308,HIPAA 1996,Medium,GOVERNANCE_FRAMEWORK
