rule_id,node_type,node_id,name,description,category,type,properties_count,regulated,cfr_citation,industry_standard_regulation_id,sensitivity_level,parent_node
COMPLIANCE_ENFORCEMENT_1,ComplianceFramework,COMPLIANCE_FRAMEWORK,Compliance Framework,"Comprehensive system of policies, procedures, and controls to ensure covered entities and business associates comply with HIPAA regulations. Includes ongoing monitoring, auditing, and documentation.",Compliance Framework,Framework,45,true,45 CFR §164.308,HIPAA 1996,Very High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_2,ComplianceProgram,COMPLIANCE_PROGRAM,Compliance Program,"Designated individual or team responsible for implementing and monitoring compliance with HIPAA. Must report to senior management. Includes compliance officer, compliance committee, and ongoing compliance activities.",Compliance Program,Program,8,true,45 CFR §164.308,HIPAA 1996,Very High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_3,ComplianceOfficer,COMPLIANCE_OFFICER,Designated Compliance Officer,"Individual or entity responsible for compliance program development and implementation. Must have authority to implement policies and report directly to senior management.",Compliance Officer,Officer,7,true,45 CFR §164.308,HIPAA 1996,High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_4,AuditAndMonitoring,AUDIT_PROCEDURES,Audit Procedures,"Regular audit procedures to monitor compliance with HIPAA policies and procedures. Includes access logs, system reviews, breach monitoring, and periodic audits of covered entities and business associates.",Audit and Monitoring,Procedures,8,true,45 CFR §164.308,HIPAA 1996,High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_5,AuditAndMonitoring,SANCTION_POLICY,Sanctions Policy,"Written policy establishing sanctions for workforce members who fail to comply with HIPAA policies and procedures. Includes progressive discipline from warnings to termination.",Audit and Monitoring,Policy,7,true,45 CFR §164.308,HIPAA 1996,High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_6,AuditAndMonitoring,INFORMATION_SYSTEM_REVIEW,Information System Activity Review,"Ongoing review of information system activity and access logs to detect unauthorized access, inappropriate use, and potential security incidents.",Audit and Monitoring,Review,7,true,45 CFR §164.312(b),HIPAA 1996,High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_7,DocumentationAndRecords,DOCUMENTATION_MAINTENANCE,Documentation and Record Maintenance,"Comprehensive documentation of all HIPAA policies, procedures, safeguards, and compliance activities. Records must be maintained for minimum 6 years.",Documentation and Records,Documentation,8,true,45 CFR §164.316,HIPAA 1996,High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_8,DocumentationAndRecords,AUDIT_CONTROLS_LOGS,Audit Control Logs,"Mechanisms to record and examine activities on information systems containing PHI. Audit logs must be maintained for minimum 6 years and reviewed for unauthorized access/activity.",Documentation and Records,Logs,7,true,45 CFR §164.312(b),HIPAA 1996,High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_9,EnforcementAuthority,ENFORCEMENT_OCR,HHS Office for Civil Rights (OCR),"Federal enforcement authority for HIPAA. OCR investigates complaints, conducts audits (including desk audits and on-site audits), and assesses civil penalties for violations.",Enforcement Authority,Authority,8,true,45 CFR Part 160,HIPAA 1996,Very High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_10,EnforcementAuthority,ENFORCEMENT_STATE_AG,State Attorney General Enforcement,"State Attorneys General have concurrent authority to enforce HIPAA on behalf of state residents. Can investigate and pursue civil remedies and penalties.",Enforcement Authority,Authority,7,true,45 CFR §164.412,HIPAA 1996,High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_11,EnforcementMechanism,ENFORCEMENT_INVESTIGATION,Investigation and Compliance Review,"OCR investigates complaints filed by individuals or entities. Investigation process includes notification of covered entity, document requests, and potentially on-site inspection.",Enforcement Mechanism,Mechanism,8,true,45 CFR Part 160,HIPAA 1996,High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_12,EnforcementMechanism,ENFORCEMENT_CORRECTIVE_ACTION,Corrective Action Plans,"Covered entities must develop and implement corrective action plans when violations are identified. Plans must address root causes and prevent recurrence.",Enforcement Mechanism,Mechanism,7,true,45 CFR §164.308,HIPAA 1996,High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_13,Penalties,CIVIL_PENALTIES,Civil Penalties,"Monetary penalties for HIPAA violations. OCR assesses civil penalties up to $100-$50,000 per violation, depending on negligence level. Maximum aggregate penalties apply.",Penalties,Penalty,8,true,45 CFR Part 160,HIPAA 1996,Very High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_14,Penalties,CRIMINAL_PENALTIES,Criminal Penalties,"Criminal liability for knowing unauthorized disclosure of PHI or obtaining PHI under false pretenses. Includes fines up to $250,000 and imprisonment up to 10 years.",Penalties,Penalty,8,true,42 U.S.C. § 1320d,HIPAA 1996,Very High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_15,ComplianceObligation,BUSINESS_ASSOCIATE_OVERSIGHT,Business Associate Oversight,"Covered entities must monitor and ensure business associates comply with HIPAA through contractual requirements, audits, and corrective actions. Contractual terms must include HIPAA compliance requirements.",Compliance Obligation,Obligation,8,true,45 CFR §164.504,HIPAA 1996,High,HIPAA_1996
COMPLIANCE_ENFORCEMENT_16,ComplianceObligation,REQUIRED_TRAINING,Required Workforce Training,"All workforce members accessing PHI must receive HIPAA training covering privacy, security, and breach notification rules. Training must be documented and recurring.",Compliance Obligation,Obligation,7,true,45 CFR §164.308,HIPAA 1996,Medium,HIPAA_1996
