notification_id,threshold,media_types,content_requirements,cfr_citation,framework_version,old_notification_id,status
MN-001-v2,500 or more residents in single jurisdiction,Print newspapers online news outlets local television,"Breach description PHI involved protective steps offered, entity contact information OCR contact information",45 CFR 164.404(b),HIPAA_2026_v2,MN-001,Active
MN-002-v2,Prominent media outlets,Radio broadcast news websites social media,Same content as print notification with audio/visual format options,45 CFR 164.404(b),HIPAA_2026_v2,MN-002,Active
MN-003-v2,Large scale breach 10000+ individuals affected,All media types plus national wire services,Detailed breach description geographic scope number affected mitigation services entity response,45 CFR 164.404(b),HIPAA_2026_v2,MN-003,Active
MN-004-v2,Regional breach 1000-10000 individuals,Regional news outlets regional social media,Regional impact statement number of residents affected protective measures,45 CFR 164.404(b),HIPAA_2026_v2,MN-004,Active
MN-005-v2,Local breach 500-1000 individuals,Local newspapers radio local television,Local jurisdiction notice community impact statement,45 CFR 164.404(b),HIPAA_2026_v2,MN-005,Active
MN-006-v2,State-wide impact,State news wires major state newspapers television networks,Statewide impact statement protective measures OCR notification,45 CFR 164.404(b),HIPAA_2026_v2,MN-006,Active
MN-007-v2,Alternative publication method,Website posting press release distribution service,Full notification content posted online for at least 90 days,45 CFR 164.404(b),HIPAA_2026_v2,MN-007,Active
MN-008-v2,Multi-state breach,National media outlets national wire services,Breach description multi-state scope combined individual count,45 CFR 164.404(b),HIPAA_2026_v2,MN-008,Active
MN-009-v2,Healthcare industry specific outlets,Healthcare trade publications medical society communications,Industry-specific breach details lessons learned recommendations,45 CFR 164.404(b),HIPAA_2026_v2,MN-009,Active
MN-010-v2,Timing of media notification,All applicable media outlets,Notification concurrent with or before individual notices,45 CFR 164.404(b),HIPAA_2026_v2,MN-010,Active
