rule_id,node_type,node_id,name,description,category,type,properties_count,regulated,cfr_citation,industry_standard_regulation_id,sensitivity_level,mandatory_status,parent_node
ORG_GOV_1,OrganizationStructure,ORGANIZATION_STRUCTURE,Organization Structure,"Organizational structure and hierarchy that defines roles, responsibilities, and reporting relationships for HIPAA compliance. Requires designations of responsibility and authority levels per HIPAA Administrative Requirements.",Organization Structure,Structure,45,true,45 CFR §164.308(a)(2),HIPAA 1996,High,MANDATORY,HIPAA_1996
ORG_GOV_2,GovernanceFramework,GOVERNANCE_FRAMEWORK,Governance Framework,"System of policies, procedures, and practices that direct and control organizational activities related to HIPAA compliance. Must include documented policies and procedures ensuring compliance with Privacy and Security regulations.",Governance Framework,Framework,42,true,45 CFR §164.308(a)(1),HIPAA 1996,High,MANDATORY,HIPAA_1996
ORG_GOV_5,DepartmentStructure,PRIVACY_OFFICE,Privacy Office,"Dedicated office/function responsible for overseeing privacy compliance. Manages privacy notices, authorizations, individual access requests, amendments, accounting of disclosures, and privacy incident response.",Department Structure,Department,7,true,45 CFR §164.530(a)(1),HIPAA 1996,Very High,MANDATORY,ORGANIZATION_STRUCTURE
ORG_GOV_6,DepartmentStructure,SECURITY_OFFICE,Security Office,"Dedicated office/function responsible for security compliance including risk assessments, access controls, encryption, audit logging, workforce security, and security incident response.",Department Structure,Department,7,true,45 CFR §164.308(a)(2),HIPAA 1996,Very High,MANDATORY,ORGANIZATION_STRUCTURE
ORG_GOV_7,DepartmentStructure,COMPLIANCE_OFFICE,Compliance Office,"Dedicated office/function responsible for overall HIPAA compliance program management including complaint handling, audit procedures, sanctions, mitigation, and compliance monitoring.",Department Structure,Department,7,true,45 CFR §164.530(d),HIPAA 1996,High,MANDATORY,ORGANIZATION_STRUCTURE
ORG_GOV_8,RoleAndResponsibility,COMPLIANCE_OFFICER_ROLE,Compliance Officer Role,"Defined role responsible for compliance program development, implementation, and oversight. Reports to executive leadership with authority to implement policies and enforce sanctions.",Role and Responsibility,Role,8,true,45 CFR §164.308(a)(2),HIPAA 1996,Very High,MANDATORY,ORGANIZATION_STRUCTURE
ORG_GOV_9,RoleAndResponsibility,PRIVACY_OFFICER_ROLE,Privacy Officer Role,"Required designated privacy official responsible for development and implementation of privacy policies and procedures, privacy notices, authorization management, and fulfillment of individual rights requests.",Role and Responsibility,Role,7,true,45 CFR §164.530(a)(1),HIPAA 1996,Very High,MANDATORY,ORGANIZATION_STRUCTURE
ORG_GOV_10,RoleAndResponsibility,SECURITY_OFFICER_ROLE,Security Officer Role,"Required designated security official responsible for development and implementation of security policies and procedures, security safeguards, risk assessments, and security incident response.",Role and Responsibility,Role,7,true,45 CFR §164.308(a)(2),HIPAA 1996,Very High,MANDATORY,ORGANIZATION_STRUCTURE
ORG_GOV_12,IncidentResponse,INCIDENT_RESPONSE_TEAM,Incident Response Team,"Required team and procedures for identifying and responding to security incidents. Includes detection, investigation, containment, mitigation, breach assessment, notification, and post-incident review procedures.",Incident Response,Team,8,true,45 CFR §164.308(a)(6),HIPAA 1996,Very High,MANDATORY,GOVERNANCE_FRAMEWORK
ORG_GOV_13,PolicyAndProcedures,POLICY_DEVELOPMENT,Policy Development Process,"Required process for developing, approving, documenting, implementing, and maintaining HIPAA compliance policies and procedures. Must include version control, change management, and documentation retention.",Policy and Procedures,Process,7,true,45 CFR §164.530(i),HIPAA 1996,High,MANDATORY,GOVERNANCE_FRAMEWORK
ORG_GOV_14,PolicyAndProcedures,CHANGE_MANAGEMENT,Change Management Procedures,"Required procedures for managing changes to policies, procedures, systems, or processes affecting HIPAA compliance. Must address changes in law and changes to privacy practices stated in the Notice of Privacy Practices.",Policy and Procedures,Procedures,7,true,45 CFR §164.530(i)(2),HIPAA 1996,High,MANDATORY,GOVERNANCE_FRAMEWORK
ORG_GOV_17,Training,TRAINING_PROGRAM,Workforce Training Program,"MANDATORY workforce training program. Covered Entity must train all members of its workforce on policies and procedures with respect to PHI, as necessary and appropriate for workforce members to carry out their functions. Training required at hire, for new policies, and periodically thereafter.",Training and Education,Program,9,true,45 CFR §164.530(b),HIPAA 1996,Very High,MANDATORY,GOVERNANCE_FRAMEWORK
