source_standard_id,target_mapping_id,relationship_type,mapping_type,confidence
HIPAA-164.308(a)(1)(ii)(A),HIPAA-164.308(a)(1)(ii)(A)_TO_ID.RA-01,MAPS_TO,direct,High
HIPAA-164.308(a)(1)(ii)(A),HIPAA-164.308(a)(1)(ii)(A)_TO_ID.RA-04,MAPS_TO,direct,High
HIPAA-164.308(a)(1)(ii)(A),HIPAA-164.308(a)(1)(ii)(A)_TO_ID.RA-05,MAPS_TO,direct,High
HIPAA-164.308(a)(1)(ii)(B),HIPAA-164.308(a)(1)(ii)(B)_TO_GV.RM-03,MAPS_TO,direct,High
HIPAA-164.308(a)(1)(ii)(B),HIPAA-164.308(a)(1)(ii)(B)_TO_ID.RA-06,MAPS_TO,direct,High
HIPAA-164.308(a)(1)(ii)(B),HIPAA-164.308(a)(1)(ii)(B)_TO_GV.RM-04,MAPS_TO,partial,High
HIPAA-164.308(a)(1)(ii)(C),HIPAA-164.308(a)(1)(ii)(C)_TO_GV.RR-04,MAPS_TO,direct,High
HIPAA-164.308(a)(1)(ii)(C),HIPAA-164.308(a)(1)(ii)(C)_TO_GV.PO-01,MAPS_TO,partial,Medium
HIPAA-164.308(a)(1)(ii)(D),HIPAA-164.308(a)(1)(ii)(D)_TO_DE.CM-01,MAPS_TO,direct,High
HIPAA-164.308(a)(1)(ii)(D),HIPAA-164.308(a)(1)(ii)(D)_TO_DE.AE-02,MAPS_TO,direct,High
HIPAA-164.308(a)(1)(ii)(D),HIPAA-164.308(a)(1)(ii)(D)_TO_PR.PS-04,MAPS_TO,partial,High
HIPAA-164.308(a)(2),HIPAA-164.308(a)(2)_TO_GV.RR-02,MAPS_TO,direct,High
HIPAA-164.308(a)(2),HIPAA-164.308(a)(2)_TO_GV.RR-01,MAPS_TO,partial,High
HIPAA-164.308(a)(3),HIPAA-164.308(a)(3)_TO_PR.AA-05,MAPS_TO,direct,High
HIPAA-164.308(a)(3),HIPAA-164.308(a)(3)_TO_GV.RR-04,MAPS_TO,partial,High
HIPAA-164.308(a)(3)(ii)(A),HIPAA-164.308(a)(3)(ii)(A)_TO_PR.AA-05,MAPS_TO,direct,High
HIPAA-164.308(a)(3)(ii)(A),HIPAA-164.308(a)(3)(ii)(A)_TO_GV.RR-02,MAPS_TO,partial,Medium
HIPAA-164.308(a)(3)(ii)(B),HIPAA-164.308(a)(3)(ii)(B)_TO_PR.AA-05,MAPS_TO,direct,High
HIPAA-164.308(a)(3)(ii)(C),HIPAA-164.308(a)(3)(ii)(C)_TO_PR.AA-01,MAPS_TO,direct,High
HIPAA-164.308(a)(3)(ii)(C),HIPAA-164.308(a)(3)(ii)(C)_TO_GV.RR-04,MAPS_TO,partial,High
HIPAA-164.308(a)(4),HIPAA-164.308(a)(4)_TO_PR.AA-05,MAPS_TO,direct,High
HIPAA-164.308(a)(4),HIPAA-164.308(a)(4)_TO_GV.PO-01,MAPS_TO,partial,High
HIPAA-164.308(a)(4)(ii)(B),HIPAA-164.308(a)(4)(ii)(B)_TO_PR.AA-05,MAPS_TO,direct,High
HIPAA-164.308(a)(4)(ii)(C),HIPAA-164.308(a)(4)(ii)(C)_TO_PR.AA-05,MAPS_TO,direct,High
HIPAA-164.308(a)(4)(ii)(C),HIPAA-164.308(a)(4)(ii)(C)_TO_PR.AA-01,MAPS_TO,partial,High
