agreement_id,industry_standard_regulation_id,required_provisions,description,cfr_citation,permitted_uses,prohibited_uses
BAA001,HIPAA 1996,"Permitted uses and disclosures, Restrictions on uses and disclosures, Breach notification, Termination for cause, Return or destruction of PHI","Business Associate Agreement for Service Providers - Defines terms of agreement between Covered Entity and Business Associate regarding protected health information (PHI) handling, security, and compliance with HIPAA regulations.","45 CFR §164.504(e)","Use PHI for designated functions: claims processing, payment, healthcare operations, subcontractor services","Cannot use or disclose PHI except as permitted by agreement; cannot disclose for marketing without explicit authorization; cannot share for remuneration; cannot retain PHI after contract termination except as permitted"
BAA002,HIPAA 1996,"Required elements, Compliance assurances, Obligation to subcontract, Breach reporting timeline, Documentation requirements","Mandatory provisions that must be included in all Business Associate Agreements to ensure PHI protection and compliance with HIPAA Security and Privacy Rules.","45 CFR §164.504(e)(2)(i)","PHI processing for permitted healthcare operations; claims administration; payment determination; healthcare quality assessment","Disclosure for purposes other than those specified; use for employer group health plan functions without explicit authorization; retention beyond contract term"
BAA003,HIPAA 1996,"Permitted disclosures, Safeguarding requirements, Audit and inspection rights, Termination obligations, Notification procedures","Agreement terms specifying how Business Associates must handle, protect, and return PHI when contract ends or upon Covered Entity request.","45 CFR §164.504(e)(2)(ii)","Administrative services: enrollment, eligibility verification, benefits administration, claims processing; Quality assessment; Care coordination activities","Using PHI for BA's own business operations; selling PHI to third parties; using PHI for marketing without written authorization; retaining PHI longer than necessary"
BAA004,HIPAA 1996,"Mandatory safeguards, Administrative requirements, Physical security measures, Technical security controls, Breach response procedures","Business Associate must implement administrative, physical, and technical safeguards as specified in HIPAA Security Rule 45 CFR Part 164 Subpart C.","45 CFR §164.504(e)(2)(ii)(I)","Perform data analysis for healthcare research; execute billing and collection; conduct quality analysis; provide legal and actuarial services","Selling or licensing PHI; using PHI for marketing without explicit patient authorization; sharing PHI with unauthorized parties; failing to report breaches"
BAA005,HIPAA 1996,"Notification requirements, Timeliness standards, Content specifications, Recipient determination, Regulatory reporting obligations","Business Associate must notify Covered Entity of security breaches involving unsecured PHI without unreasonable delay and in no case later than 60 calendar days after discovery of breach.","45 CFR §164.504(e)(2)(ii)(J)","Notification to patients; communication with regulatory agencies; coordination with law enforcement if applicable","Delay breach notification beyond 60 days; fail to notify affected individuals; provide incomplete breach information; neglect to inform regulators when required"
BAA006,HIPAA 1996,"Subcontractor requirements, Liability chain, Pass-through obligations, Monitoring responsibilities, Contract enforcement","Business Associate must ensure that any subcontractors or downstream vendors also comply with HIPAA Security and Privacy Rules through written agreements.","45 CFR §164.504(e)(1)(ii)","Delegate specified PHI processing functions to subcontractors with written agreements that flow-down HIPAA compliance obligations; maintain oversight of subcontractor compliance","Subcontracting PHI handling to parties without HIPAA agreements; failing to monitor subcontractor compliance; allowing unauthorized PHI access through subcontractors"
BAA007,HIPAA 1996,"Access controls, Minimum necessary principle, Role-based restrictions, Documentation of access, Audit trail requirements","Implement technical and administrative measures to ensure that PHI is only accessed by authorized personnel with a legitimate need-to-know for their job functions.","45 CFR §164.504(e)(2)(ii)(I)","Access PHI required to perform job duties; audit access logs; enforce role-based permissions; implement emergency access procedures","Unrestricted PHI access by all employees; absence of access controls; inability to identify who accessed what PHI; lack of audit trails"
BAA008,HIPAA 1996,"Encryption standards, Transmission security, Data at rest protection, Authentication protocols, Integrity verification","Business Associate must implement encryption for PHI in transit and at rest using current NIST-approved cryptographic standards and maintain secure transmission protocols.","45 CFR §164.504(e)(2)(ii)(I)","Use AES-256 encryption for stored data; TLS 1.2+ for transmission; implement encryption key management; enable secure deletion protocols","Transmitting unencrypted PHI; storing sensitive data in plain text; using outdated encryption protocols; losing encryption keys"
BAA009,HIPAA 1996,"Data retention policies, Destruction procedures, Return requirements, Certification of destruction, Litigation hold exceptions","Upon contract termination, Business Associate must return or securely destroy all PHI held by the Business Associate unless law requires retention, with written certification of destruction.","45 CFR §164.504(e)(2)(ii)(J)","Secure deletion of PHI; return PHI to Covered Entity on request; document destruction process; maintain proof of secure destruction; apply litigation holds","Discarding PHI in regular trash; retaining PHI indefinitely after contract ends; selling or transferring PHI to other parties; inadequate documentation of destruction"
BAA010,HIPAA 1996,"Right of access, Inspection authority, Audit privileges, Documentation review, Enforcement mechanisms","Covered Entity retains the right to access, inspect, and audit all business records, systems, and facilities of the Business Associate to verify HIPAA compliance and assess safeguards.","45 CFR §164.504(e)(2)(ii)(J)","Provide access to systems and records; cooperate with audits and inspections; produce documentation on demand; submit to compliance reviews; maintain audit logs","Denying Covered Entity audit access; destroying records before audit completion; failing to produce required documentation; obstructing compliance reviews"
BAA011,HIPAA 1996,"Termination for cause, Cure periods, Immediate termination rights, Return of assets, Post-termination liability","Covered Entity may immediately terminate the agreement if Business Associate materially breaches HIPAA obligations and fails to cure the breach within 30 days of written notice.","45 CFR §164.504(e)(2)(ii)(J)","Terminate for material breach; demand immediate return of PHI; seek remediation; impose penalties; pursue legal action for non-compliance damages","Continue operating without HIPAA compliance; resist contract termination; refuse to return PHI; deny responsibility for data breaches"
BAA012,HIPAA 1996,"Permitted uses specification, Designated functions, Operational necessity, Scope limitations, Prohibited expansions","Business Associate Agreement must clearly specify and limit permitted uses and disclosures of PHI to only those necessary for the designated healthcare operations or services.","45 CFR §164.504(e)(2)(i)","Process claims for the healthcare plan; conduct eligibility verification; perform billing and collection; manage care coordination; conduct quality assurance activities","Use PHI for business development or marketing; share with non-healthcare entities; disclose to employer's HR department; use for employment decisions; sell to third parties"
BAA013,HIPAA 1996,"Authorization mechanisms, Consent requirements, Opt-out provisions, Modification procedures, Amendment protocols","Any amendment or modification to permitted uses must be made through a written amendment to the Business Associate Agreement and documented with appropriate authorization.","45 CFR §164.504(e)(2)(ii)(I)","Modify agreement terms with written amendment; expand permitted uses through addendum; restrict uses through modification; document all changes; maintain version control","Unilaterally change permitted uses; expand scope without written authorization; verbally agree to new uses; apply retroactively without documentation"
BAA014,HIPAA 1996,"Compliance certification, Attestation requirements, Annual recertification, Documentation maintenance, Audit preparation","Business Associate must certify in writing that it understands its HIPAA obligations and will comply with the terms of the Business Associate Agreement upon execution.","45 CFR §164.504(e)(2)(i)","Submit written compliance certification; maintain documentation of HIPAA training; complete annual compliance attestation; update certifications when needed; maintain evidence of compliance","Provide false certifications; fail to recertify compliance; lack documentation of compliance efforts; provide incomplete attestations"
BAA015,HIPAA 1996,"Regulatory notification, Breach reporting to OCR, Communications with HHS, Government cooperation, Regulatory documentation","If Business Associate becomes aware of a breach of unsecured PHI, it must notify the Covered Entity, who will notify HHS Office for Civil Rights (OCR) and affected individuals.","45 CFR §164.404-414","Cooperate with breach investigations; provide breach details to Covered Entity; support OCR inquiries; document breach response; maintain breach records","Fail to report breaches; provide incomplete information; obstruct investigations; refuse to cooperate with regulators; destroy evidence"
BAA016,HIPAA 1996,"Performance standards, Quality metrics, Accountability measures, Monitoring procedures, Reporting obligations","Business Associate must demonstrate ongoing compliance through regular reporting, documentation of safeguard implementations, and participation in compliance monitoring activities.","45 CFR §164.504(e)(2)(ii)(I)","Submit compliance reports quarterly; provide access to system logs; demonstrate safeguard functionality; participate in security reviews; document remediation efforts","Fail to submit reports; falsify compliance documentation; refuse monitoring access; ignore compliance findings; neglect remediation"
BAA017,HIPAA 1996,"Cost allocation, Security implementation, Technology maintenance, Staff training, Operational support","Business Associate bears financial responsibility for implementing and maintaining required HIPAA safeguards, including security infrastructure, updates, and staff training programs.","45 CFR §164.504(e)(2)(ii)(I)","Allocate budget for security measures; maintain current software and systems; fund staff HIPAA training; implement security patches; invest in disaster recovery infrastructure","Delay security implementations due to cost; use outdated systems; inadequately train staff; defer necessary security patches; neglect business continuity planning"
BAA018,HIPAA 1996,"Enforcement authority, Penalty provisions, Remediation requirements, Escalation procedures, Dispute resolution","Business Associate Agreement must include provisions for enforcement of HIPAA compliance, including corrective action requirements, penalties, and dispute resolution procedures.","45 CFR §164.504(e)(2)","Impose contractual penalties for breaches; require corrective action plans; escalate non-compliance to senior management; pursue termination; seek damages in court; arbitrate disputes","Ignore non-compliance; fail to impose consequences; allow violations without remediation; refuse to escalate issues; avoid dispute resolution"
BAA019,HIPAA 1996,"Documentation retention, Record keeping, Audit trail maintenance, Evidence preservation, Regulatory compliance documentation","Business Associate must maintain comprehensive documentation of all HIPAA compliance activities, safeguard implementations, breach investigations, and corrective actions for at least 6 years.","45 CFR §164.316(b)(1)(i)","Maintain access logs for 6+ years; preserve breach investigation files; document all security measures; keep training records; retain audit reports; preserve corrective actions","Destroy records prematurely; maintain incomplete documentation; fail to preserve evidence; inadequate record organization; missing audit trails"
BAA020,HIPAA 1996,"Covered entity authority, Oversight responsibility, Compliance verification, Delegation accountability, Ultimate liability","Covered Entity remains ultimately responsible for ensuring that all Business Associates comply with HIPAA regulations and will enforce Business Associate Agreements as necessary.","45 CFR §164.504(e)(1)(i)","Conduct regular audits of Business Associates; verify compliance certifications; impose contractual remedies; pursue legal action; maintain oversight documentation; seek damages if needed","Neglect Business Associate oversight; fail to audit compliance; ignore known violations; delegate responsibility without monitoring; avoid enforcement action"
