ohca_id,name,description,participating_entities,benefits,cfr_citation,characteristics
OHCA-001,Integrated Delivery System (IDS),Coordinated network of healthcare providers offering comprehensive services across continuum of care,"Hospitals, clinics, physician practices, specialists, ancillary services","Coordinated care, seamless transitions, shared medical records, preventive focus",45 CFR 160.103,"Organized healthcare arrangement where all participating entities are under common ownership or control"
OHCA-002,Healthcare Coalition,Multi-organizational network formed for disaster response and emergency preparedness,"Hospitals, EMS, public health, mental health, pharmacies, providers","Coordinated emergency response, resource sharing, communication protocols",45 CFR 160.103,"Participants agree to share PHI for public health emergency response activities"
OHCA-003,Clinically Integrated Network (CIN),Organized network of healthcare providers using data and IT to improve quality and reduce costs,"Physicians, hospitals, specialists, post-acute care providers","Shared clinical protocols, quality metrics, cost analysis, coordinated care",45 CFR 160.103,"Electronic connectivity, shared data, aligned incentives, legal agreements among participants"
OHCA-004,Health Information Exchange (HIE),Organization facilitating sharing of health information among providers and health plans,"EHR vendors, hospitals, clinics, health plans, care coordination entities","Interoperability, electronic health records access, care coordination, reduced duplication",45 CFR 160.103,"Common electronic infrastructure, governance structure, participant agreements"
OHCA-005,Accountable Care Organization (ACO),Entity organized to manage financial and clinical risks and improve care delivery,"Primary care physicians, specialists, hospitals, skilled nursing, home health","Value-based payment, quality metrics, shared savings, coordinated care management",45 CFR 160.103,"CMS-recognized organization with shared financial and clinical accountability"
OHCA-006,Managed Care Network,Organized network of healthcare providers and facilities under managed care arrangements,"Primary care physicians, specialists, hospitals, pharmacies, ancillary providers","Network efficiency, cost containment, care management, preventive services",45 CFR 160.103,"Common management controls, network agreements, shared incentives"
OHCA-007,Patient-Centered Medical Home Network,Coordinated network of primary care practices emphasizing access and coordination,"Primary care clinics, specialists, behavioral health, social services","Patient engagement, care coordination, preventive care, quality improvement",45 CFR 160.103,"Designated primary care practices with coordination capabilities"
OHCA-008,Specialty Care Network,Organized network focused on specific disease or condition management,"Specialty practices, disease management organizations, rehabilitation services, patient advocacy","Specialized expertise, disease-specific protocols, outcomes tracking, patient support",45 CFR 160.103,"Formal agreements among organizations sharing common treatment protocols"
OHCA-009,Mental Health and Substance Use Network,Integrated network providing behavioral health and substance use treatment services,"Mental health clinics, substance use treatment, primary care, hospitals, peer support","Integrated behavioral health, reduced stigma, comprehensive treatment, recovery support",45 CFR 160.103,"Shared governance, coordinated care planning, integrated IT systems"
OHCA-010,Community Health Center Consortium,Network of federally qualified health centers and community clinics,"FQHCs, community health centers, safety-net providers, public health agencies","Access for underserved populations, coordinated care, prevention focus, health equity",45 CFR 160.103,"Shared mission, coordinated networks, community-based governance"
