plan_id,name,description,components,testing_frequency,cfr_citation
CP-001,Data Backup Plan,Procedures for backing up and storing ePHI to ensure availability in case of system failure or disaster,"Backup schedule, storage location, backup media, retention policy, restoration procedures",Quarterly,45 CFR 164.308(a)(7)(ii)(A)
CP-002,Disaster Recovery Plan,Comprehensive plan to restore systems and data following a major incident or catastrophic failure,"Recovery objectives, recovery procedures, communication plan, alternative processing sites, equipment procurement",Annually,45 CFR 164.308(a)(7)(ii)(B)
CP-003,Emergency Mode Operation Plan,Procedures for continuing operations during system outages or disasters to maintain PHI availability,"Emergency procedures, manual operations, reduced functionality operations, critical system prioritization",Semi-annually,45 CFR 164.308(a)(7)(ii)(C)
CP-004,Testing and Revision Procedures,Regular testing and documentation of contingency planning effectiveness and updates,"Test documentation, incident reports, plan updates, lessons learned, improvement tracking",Semi-annually,45 CFR 164.308(a)(7)(ii)(D)
CP-005,Applications and Data Criticality Analysis,Assessment to identify critical ePHI systems and prioritize recovery efforts,"System inventory, criticality ratings, recovery time objectives, recovery point objectives, dependency mapping",Annually,45 CFR 164.308(a)(7)(ii)(E)
CP-006,System Redundancy and Failover,Implementation of redundant systems and automatic failover mechanisms to ensure continuous availability,"Primary system configuration, secondary system setup, failover triggers, automated switching, monitoring",Quarterly,45 CFR 164.308(a)(7)
CP-007,Off-site Data Storage,Secure storage of backup data at geographically separated locations to protect against localized disasters,"Storage facility selection, data transportation, environmental controls, access restrictions, retrieval procedures",Annually,45 CFR 164.308(a)(7)(ii)(A)
CP-008,Communication and Notification Plan,Procedures for notifying workforce and external parties of system failures and recovery status,"Contact lists, notification templates, escalation procedures, status update frequency, stakeholder identification",Quarterly,45 CFR 164.308(a)(7)(ii)(C)
CP-009,Business Associate Continuity Requirements,Ensures business associates have contingency planning aligned with covered entity requirements,"Business associate agreements, contingency requirements documentation, compliance verification, regular audits",Annually,45 CFR 164.308(b)(1)
CP-010,Recovery Priority Determination,Process for determining which systems and functions are restored first based on criticality,"Prioritization matrix, recovery sequence, resource allocation, decision-making authority, documentation",Annually,45 CFR 164.308(a)(7)(ii)(E)
CP-011,Contingency Planning Documentation,Comprehensive written documentation of all contingency planning policies and procedures,"Policy manual, procedure documents, decision trees, reference materials, contact information",Annually,45 CFR 164.316(b)(1)
CP-012,Contingency Planning Training,Training program ensuring workforce understands contingency planning procedures and their roles,"Training curriculum, role-specific training, refresher training, training records, competency assessment",Annually,45 CFR 164.308(a)(5)
CP-013,Alternate Processing Sites,Identification and arrangement of alternative facilities for processing ePHI during outages,"Site agreement, geographic separation, system compatibility, access procedures, maintenance agreements",Annually,45 CFR 164.308(a)(7)(ii)(B)
CP-014,Testing Procedures,Detailed procedures for conducting contingency plan tests and exercises,"Test types, test schedule, test documentation, success criteria, reporting requirements, participant list",Quarterly,45 CFR 164.308(a)(7)(ii)(D)
CP-015,Plan Maintenance and Updates,Process for regular review and updating of contingency planning based on organizational changes,"Review schedule, change log, approval process, distribution procedure, version control, archive management",Semi-annually,45 CFR 164.316(b)(1)
CP-016,Critical System Identification,Inventory and identification of systems and data that are essential to business operations,"System documentation, criticality assessment, dependencies, recovery time objectives, business impact analysis",Annually,45 CFR 164.308(a)(7)(ii)(E)
CP-017,Data Restoration Procedures,Specific procedures for restoring ePHI from backups to operational systems,"Restoration steps, verification procedures, integrity checking, audit trails, documentation requirements",Quarterly,45 CFR 164.308(a)(7)(ii)(A)
CP-018,Contingency Planning for Workforce,Procedures ensuring workforce can perform critical functions during system outages,"Alternative work locations, manual processes, communication methods, equipment provisioning, training",Semi-annually,45 CFR 164.308(a)(7)(ii)(C)
CP-019,Supplier and Vendor Contingency Arrangements,Coordination with third-party suppliers for continued service delivery during disasters,"Vendor agreements, backup services, communication protocols, service level agreements, contact procedures",Annually,45 CFR 164.308(b)(1)
CP-020,Post-disaster Recovery Assessment,Process for evaluating recovery efforts and identifying improvements,"Assessment criteria, documentation, lessons learned review, corrective actions, timeline for implementation",Annually,45 CFR 164.308(a)(7)(ii)(D)
