rule_id,node_type,node_id,name,description,category,type,properties_count,regulated,cfr_citation,industry_standard_regulation_id,sensitivity_level,parent_node
PRIVACY_RULE_1,PrivacyRule,PRIVACY_RULE,Privacy Rule,"National standards to protect patient health information privacy. Controls use and disclosure of PHI, grants individual rights, and establishes workforce requirements.",Privacy Rule Components,Rule,40,true,45 CFR §164.500-534,HIPAA 1996,Very High,HIPAA_1996
PRIVACY_IND_RIGHT_1,IndividualRight,RIGHT_ACCESS,Right to Access,"Individuals have the right to access, inspect, and obtain copies of their PHI maintained by covered entities. Access must be provided within 30 days of request.",Individual Rights,Right,6,true,45 CFR §164.524,HIPAA 1996,High,PRIVACY_RULE
PRIVACY_IND_RIGHT_2,IndividualRight,RIGHT_AMENDMENT,"Right to Request Amendment","Individuals can request amendment of their PHI if they believe it is inaccurate or incomplete. Amendments must be processed within 60 days.",Individual Rights,Right,6,true,45 CFR §164.526,HIPAA 1996,High,PRIVACY_RULE
PRIVACY_IND_RIGHT_3,IndividualRight,RIGHT_ACCOUNTING,"Right to Accounting of Disclosures","Individuals have the right to receive an accounting of disclosures of their PHI made by covered entities. Accounting must be provided within 60 days.",Individual Rights,Right,6,true,45 CFR §164.528,HIPAA 1996,High,PRIVACY_RULE
PRIVACY_IND_RIGHT_4,IndividualRight,RIGHT_RESTRICTION,"Right to Request Restrictions","Individuals can request restrictions on uses and disclosures of their PHI. Covered entities may accept or decline restrictions.",Individual Rights,Right,6,true,45 CFR §164.522,HIPAA 1996,High,PRIVACY_RULE
PRIVACY_IND_RIGHT_5,IndividualRight,RIGHT_CONFIDENTIAL_COMM,"Right to Request Confidential Communications","Individuals may request that covered entities communicate with them at an alternative address or by an alternative method for privacy reasons.",Individual Rights,Right,6,true,45 CFR §164.522,HIPAA 1996,Medium,PRIVACY_RULE
PRIVACY_USE_DISC_1,PermittedUse,USE_TREATMENT,"Treatment","Use or disclosure of PHI for direct healthcare delivery to the individual. Providers may use PHI to treat patients without explicit authorization.",Permitted Uses/Disclosures,Use,7,true,45 CFR §164.502,HIPAA 1996,N/A,PRIVACY_RULE
PRIVACY_USE_DISC_2,PermittedUse,USE_PAYMENT,"Payment","Use or disclosure of PHI for healthcare billing, claims processing, and insurance-related activities. Can be used without authorization.",Permitted Uses/Disclosures,Use,7,true,45 CFR §164.502,HIPAA 1996,N/A,PRIVACY_RULE
PRIVACY_USE_DISC_3,PermittedUse,USE_HEALTHCAREOPERS,"Healthcare Operations","Use or disclosure of PHI for administrative, quality improvement, compliance, and other healthcare operations. No explicit authorization required.",Permitted Uses/Disclosures,Use,7,true,45 CFR §164.502,HIPAA 1996,N/A,PRIVACY_RULE
PRIVACY_OBLIGATION_1,PrivacyObligation,OBL_PRIVACY_NOTICE,"Privacy Notice Requirement","Covered entities must provide written notice to individuals describing privacy practices, individual rights, and organizational contact information at first service encounter.",Privacy Obligations,Obligation,6,true,45 CFR §164.520,HIPAA 1996,High,PRIVACY_RULE
PRIVACY_OBLIGATION_2,PrivacyObligation,OBL_MIN_NECESSARY,"Minimum Necessary Standard","When using or disclosing PHI, covered entities must limit uses, disclosures, and requests to the minimum amount of information necessary to accomplish the intended purpose.",Privacy Obligations,Obligation,6,true,45 CFR §164.502,HIPAA 1996,High,PRIVACY_RULE
PRIVACY_OBLIGATION_3,PrivacyObligation,OBL_AUTHORIZATION,"Authorization Requirements","Covered entities must obtain written authorization from individuals before using or disclosing PHI for purposes other than treatment, payment, or healthcare operations.",Privacy Obligations,Obligation,7,true,45 CFR §164.508,HIPAA 1996,High,PRIVACY_RULE
PRIVACY_SAFEGUARD_1,PrivacySafeguard,SAFEGUARD_ADMIN,"Administrative Safeguards","Policies, procedures, and processes to prevent unauthorized access, use, and disclosure of PHI. Includes access controls, audit procedures, and workforce training.",Privacy Safeguards,Safeguard,7,true,45 CFR §164.500-534,HIPAA 1996,High,PRIVACY_RULE
PRIVACY_SAFEGUARD_2,PrivacySafeguard,SAFEGUARD_PHYSICAL,"Physical Safeguards","Physical measures to protect facilities, buildings, and equipment from unauthorized access and environmental threats that could affect PHI.",Privacy Safeguards,Safeguard,6,true,45 CFR §164.500-534,HIPAA 1996,High,PRIVACY_RULE
PRIVACY_WORKFORCE_1,WorkforceRequirement,WORKFORCE_TRAINING,"Workforce Privacy Training","Covered entities must provide privacy training to workforce members who have access to PHI. Training must address privacy policies and procedures.",Workforce Requirements,Requirement,6,true,45 CFR §164.530,HIPAA 1996,Medium,PRIVACY_RULE
PRIVACY_ENFORCEMENT_1,EnforcementMechanism,ENFORCEMENT_OCR,"OCR Enforcement","U.S. Department of Health and Human Services Office for Civil Rights (OCR) enforces the Privacy Rule through investigation and civil penalties for violations.",Enforcement,Mechanism,6,true,45 CFR Part 160,HIPAA 1996,Very High,PRIVACY_RULE
