assessment_id,factors_considered,methodology,determination,cfr_citation
BRA-001,"Nature and extent of PHI involved, number of individuals affected, whether PHI was actually acquired or viewed, extent of mitigation","Low probability of compromise assessment, analysis of access logs, encryption status review, unauthorized access investigation",Low probability of compromise - No breach notification required,45 CFR 164.404(b)
BRA-002,"Unencrypted and unredacted ePHI in transit or at rest, evidence of unauthorized access, media containing PHI lost or stolen","Risk assessment based on security measures in place, breach risk matrix, probability analysis","Significant risk of compromise exists - Breach notification required",45 CFR 164.404(b)
BRA-003,"PHI encrypted according to NIST standards, no evidence of unauthorized access, strong access controls in place","Technical safeguards verification, encryption standard validation, access log analysis",Low probability of compromise - No breach notification required,45 CFR 164.404(b)
BRA-004,"Impermissible use or disclosure of PHI, unauthorized access by workforce members, loss of unencrypted portable devices","Investigation of incident, timeline reconstruction, scope determination","Assumed significant risk unless proven otherwise - Breach notification required",45 CFR 164.404(b)
BRA-005,"Media disposal not following secure procedures, unencrypted backup tapes lost, records containing PHI found in dumpster","Media tracking and inventory review, destruction documentation verification, forensic analysis","Significant risk of compromise - Breach notification required",45 CFR 164.404(b)
BRA-006,"Ransomware infection with encryption of ePHI, malware access to patient records, system compromise with PHI exfiltration","System compromise analysis, malware forensics, data access validation","Significant risk of compromise - Breach notification required",45 CFR 164.404(b)
BRA-007,"Suspicious network activity detected, failed login attempts, but strong logging shows no actual access achieved","Network monitoring and IDS analysis, session log review, authentication attempt investigation",Low probability of compromise - No breach notification required,45 CFR 164.404(b)
BRA-008,"Workforce member accidentally sent PHI to wrong recipient, but recipient did not open or use information, immediate recall","Email recall verification, recipient cooperation confirmation, data retention review",Low probability of compromise if properly mitigated,45 CFR 164.404(b)
BRA-009,"Database query results containing PHI sent to external research organization without authorization, recipient binding agreement","Investigation of access and use, recipient contractual obligations, data use verification","Assessment required - Likely significant risk - Breach notification required",45 CFR 164.404(b)
BRA-010,"Laptop with whole-disk encryption stolen, temporary employee access, but no evidence of recovery or use","Device encryption status verification, recovery capability assessment, forensic timeline analysis",Low probability of compromise - No breach notification required,45 CFR 164.404(b)
