associate_id,name,description,service_type,obligations,cfr_citation,must_implement
BA-001,Medical Coding Company,Organization providing medical coding and documentation services,Clinical Services,"Use PHI only for specified purpose, implement security measures, report breaches","45 CFR 164.504(e)",Administrative and Technical Safeguards
BA-002,IT Service Provider,Information technology support and system management services,Technical Services,"Maintain system security, monitor access, report incidents, provide breach notification support","45 CFR 164.504(e)(1)(ii)",Security and Encryption Standards
BA-003,Billing and Collections Firm,Healthcare revenue cycle management and patient billing services,Administrative Services,"Protect billing PHI, maintain confidentiality, implement access controls, respond to inquiries","45 CFR 164.504(e)",Administrative Safeguards and Breach Procedures
BA-004,Legal Counsel,Law firm providing HIPAA compliance and healthcare law services,Professional Services,"Maintain attorney-client privilege, implement confidentiality, follow access controls","45 CFR 164.504(e)(1)(ii)",Minimum Necessary and Safeguards
BA-005,Accounting Services,Accounting and auditing firm handling healthcare financial records,Financial Services,"Secure financial PHI, implement audit controls, maintain records, report discrepancies","45 CFR 164.504(e)",Audit Controls and Integrity Controls
BA-006,Patient Scheduling Service,Third-party vendor managing appointment scheduling and reminders,Administrative Services,"Protect patient contact information and appointment details, implement security, handle breaches","45 CFR 164.504(e)",Access Controls and Breach Procedures
BA-007,Cloud Storage Provider,Third-party cloud computing and data storage services,Technical Services,"Encrypt data at rest and in transit, maintain access logs, report breaches immediately","45 CFR 164.504(e)(1)(ii)(A)",Encryption and Transmission Security
BA-008,Medical Transcription Service,Transcription of clinical notes and medical documentation,Clinical Services,"Maintain confidentiality of transcribed PHI, implement access controls, secure data transmission","45 CFR 164.504(e)",Technical Safeguards and Access Controls
BA-009,Email and Communication Service,Secure messaging and communication platform provider,Technical Services,"Encrypt communications, implement authentication, maintain audit trails, report breaches","45 CFR 164.504(e)(1)(ii)(A)",Encryption and Authentication Standards
BA-010,Background Check Vendor,Pre-employment screening and background verification services,Administrative Services,"Use workforce PHI only for verification, maintain confidentiality, implement security","45 CFR 164.504(e)",Workforce Security Requirements
