hipaa_id,csf_subcategory_id,mapping_type,confidence,rationale,source_doc,source_section,source_page,created_date,created_by
HIPAA-164.308(a)(1)(ii)(A),ID.RA-01,direct,High,Both require identification and assessment of vulnerabilities and risks to information assets,NIST SP 800-66r2,Appendix D,105,2025-10-26T04:03:19.059645,System_Automated_Mapping
HIPAA-164.308(a)(1)(ii)(A),ID.RA-04,direct,High,Risk analysis requires assessment of potential impacts and likelihoods of threats,NIST SP 800-66r2,Appendix D,105,2025-10-26T04:03:19.059645,System_Automated_Mapping
HIPAA-164.308(a)(1)(ii)(A),ID.RA-05,direct,High,Risk analysis outcomes inform risk response prioritization,NIST SP 800-66r2,Appendix D,105,2025-10-26T04:03:19.059645,System_Automated_Mapping
HIPAA-164.308(a)(1)(ii)(B),GV.RM-03,direct,High,Risk management requires integration into enterprise risk management processes,NIST SP 800-66r2,Appendix D,105,2025-10-26T04:03:19.059645,System_Automated_Mapping
HIPAA-164.308(a)(1)(ii)(B),ID.RA-06,direct,High,"Both require selection, prioritization, and tracking of risk responses",NIST SP 800-66r2,Appendix D,105,2025-10-26T04:03:19.059645,System_Automated_Mapping
HIPAA-164.308(a)(1)(ii)(B),GV.RM-04,partial,High,Risk management strategy includes establishing risk response options,NIST SP 800-66r2,5.1.1,30,2025-10-26T04:03:19.059645,System_Automated_Mapping
HIPAA-164.308(a)(1)(ii)(C),GV.RR-04,direct,High,Both require cybersecurity to be included in human resources practices including sanctions,NIST SP 800-66r2,5.1.1,32,2025-10-26T04:03:19.059645,System_Automated_Mapping
HIPAA-164.308(a)(1)(ii)(C),GV.PO-01,partial,Medium,Sanction policy is part of organizational cybersecurity policy enforcement,NIST SP 800-66r2,5.1.1,32,2025-10-26T04:03:19.059645,System_Automated_Mapping
HIPAA-164.308(a)(1)(ii)(D),DE.CM-01,direct,High,Both require monitoring of system activity through audit logs to find adverse events,NIST SP 800-66r2,5.1.1,33,2025-10-26T04:03:19.059645,System_Automated_Mapping
HIPAA-164.308(a)(1)(ii)(D),DE.AE-02,direct,High,Review of system activity logs enables analysis of potentially adverse events,NIST SP 800-66r2,5.1.1,33,2025-10-26T04:03:19.059645,System_Automated_Mapping
HIPAA-164.308(a)(1)(ii)(D),PR.PS-04,partial,High,Requires log records to be generated for continuous monitoring,NIST SP 800-66r2,5.3.2,69,2025-10-26T04:03:19.059645,System_Automated_Mapping
