security_id,name,description,components,cfr_citation
WS-001,Authorization and Supervision,Procedures to ensure workforce members are authorized and properly supervised in their access to ePHI,"Authorization procedures, role-based access control, supervision methods, delegation authority, monitoring processes",45 CFR 164.308(a)(3)(ii)(A)
WS-002,Workforce Clearance Procedures,Assessment and verification process to determine workforce members' suitability for access to ePHI,"Background checks, criminal history review, credit checks, reference verification, medical evaluation, clearance documentation",45 CFR 164.308(a)(3)(ii)(B)
WS-003,Termination Procedures,Formal processes to manage workforce member separation and ensure immediate access revocation,"Notice requirements, final duties, access removal timeline, equipment return, documentation, confidentiality agreements",45 CFR 164.308(a)(3)(ii)(C)
WS-004,Workforce Security Policy,Comprehensive documented policy governing all aspects of workforce access and management,"Policy documentation, scope definition, roles and responsibilities, approval authority, annual review procedures",45 CFR 164.308(a)(3)(i)
WS-005,Unique User Identification,System for assigning unique identifiers to all users accessing ePHI systems,"User ID format, assignment procedures, uniqueness verification, deactivation procedures, documentation requirements",45 CFR 164.312(a)(2)(i)
WS-006,User Authentication,Mechanisms to verify user identity before granting access to ePHI systems,"Password requirements, multi-factor authentication, biometric authentication, authentication failure procedures, audit logging",45 CFR 164.312(a)(2)(i)
WS-007,Access Control Standards,Policies and procedures to limit ePHI access to authorized users and functions,"Access determination criteria, approval process, least privilege principle, emergency access procedures, access review cycles",45 CFR 164.312(a)(2)(i)
WS-008,Emergency Access Procedures,Documented procedures for providing access to ePHI during emergencies when normal access is unavailable,"Emergency identification, justification requirements, temporary access duration, audit trail requirements, documentation procedures",45 CFR 164.312(a)(2)(i)
WS-009,Automatic Logoff,System implementation to terminate inactive user sessions automatically,"Inactivity timeout period, session termination procedures, user notification, system re-authentication, exception handling",45 CFR 164.312(a)(2)(i)
WS-010,Encryption and Decryption,Processes for encrypting ePHI at rest and in transit to protect from unauthorized access,"Encryption standards, key management, encryption algorithms, decryption procedures, implementation verification, testing",45 CFR 164.312(a)(2)(iv)
WS-011,Workforce Training Program,Comprehensive training to ensure workforce understands HIPAA requirements and security procedures,"Training curriculum, role-specific modules, frequency, documentation, competency assessment, refresher training schedule",45 CFR 164.308(a)(5)(i)
WS-012,Security Reminders,Regular communications to reinforce workforce awareness of security practices and policies,"Reminder frequency, communication methods, topics covered, documentation, effectiveness measurement, targeted messaging",45 CFR 164.308(a)(5)(ii)(i)
WS-013,Protection from Malicious Software,Measures to protect systems from viruses malware and other malicious code,"Antivirus software, malware detection, automatic updates, scanning procedures, quarantine processes, incident response",45 CFR 164.308(a)(5)(ii)(B)
WS-014,Log-in Monitoring,Procedures to monitor and review system login attempts and user activities,"Login tracking, failed attempt monitoring, unusual activity detection, alert procedures, log retention, analysis methods",45 CFR 164.308(a)(5)(ii)(C)
WS-015,Password Management,Policies and procedures for creating maintaining and changing user passwords,"Password complexity requirements, minimum length, expiration period, history restrictions, reset procedures, storage security",45 CFR 164.308(a)(5)(ii)(D)
WS-016,Workforce Access Audit,Regular review and audit of workforce members who have access to ePHI systems,"Audit schedule, access verification, appropriateness assessment, documentation, corrective action procedures, evidence retention",45 CFR 164.308(a)(3)(i)
WS-017,Access Management Documentation,Comprehensive records of all workforce access decisions and changes,"Access request forms, approval documentation, change logs, termination records, review documentation, retention requirements",45 CFR 164.316(b)(1)
WS-018,Role-Based Access Control,System of defining and implementing access based on defined job roles and functions,"Role definition, role inventory, role assignment procedures, role review cycles, role modification process, documentation",45 CFR 164.312(a)(2)(i)
WS-019,Segregation of Duties,Procedures to ensure no single individual can make unauthorized changes to ePHI systems,"Duty separation requirements, approval workflows, system configuration, conflict detection, exception procedures, monitoring",45 CFR 164.308(a)(3)
WS-020,Workforce Security Incident Response,Procedures for responding to security incidents involving workforce member access or actions,"Incident reporting, investigation procedures, corrective actions, disciplinary measures, documentation, monitoring for recurrence",45 CFR 164.308(a)(6)
