entity_id,name,description,healthcare_components,non_covered_functions,cfr_citation,requirement
HE-001,University Medical System,Large academic medical center with integrated clinic retail operations and research divisions,"Inpatient hospital, ambulatory clinics, emergency department, teaching hospitals","Bookstore, gift shop, cafeteria, parking services, unrelated research",45 CFR 160.103,Hybrid entity must apply HIPAA to healthcare components only
HE-002,Large Integrated Health System,Multi-facility healthcare organization with hospital clinics insurance plan and wellness programs,"Hospital system, physician practices, urgent care, health plan operations","Corporate headquarters non-healthcare, real estate leasing, unrelated ventures",45 CFR 160.103,Designate healthcare components subject to HIPAA
HE-003,Provider-Sponsored Insurer,Healthcare provider that owns health insurance organization,"Clinical provider operations, health plan operations, claims processing","General insurance products, property casualty insurance",45 CFR 160.103,Components must comply with separate HIPAA requirements
HE-004,Pharmaceutical Company with Patient Services,Drug manufacturer with direct patient assistance programs,"Patient assistance program, patient data collection, clinical support services","Drug manufacturing and sales, general business operations",45 CFR 160.103,Patient services component subject to HIPAA
HE-005,Hospital with Non-Healthcare Subsidiary,Hospital owning property management and consulting companies,"Hospital operations, clinical services","Property management company, consulting firm unrelated to healthcare",45 CFR 160.103,Only hospital component covered by HIPAA
HE-006,Dental Network with Lab Services,Dental provider organization with owned lab and supply company,"Dental practices, patient care, clinical laboratories","Dental supply retail, equipment sales to non-healthcare",45 CFR 160.103,Clinical operations covered; supply retail not covered
HE-007,Research Institute with Hospital,"Academic research institution operating affiliated hospital,"Clinical research hospital, patient care, medical education","Pure research operations, non-healthcare research",45 CFR 160.103,Hospital and clinical research covered; pure research may not be
HE-008,Pharmacy Chain with Clinics,National pharmacy retailer with healthcare clinics,"Healthcare clinics, immunization services, medication counseling","Retail pharmacy counter, beauty services, grocery operations",45 CFR 160.103,Clinic operations covered; retail pharmacy may have separate obligations
HE-009,Employer with Onsite Medical Clinic,Company with self-funded health plan and employee medical clinic,"Onsite occupational health clinic, health plan administration","Corporate headquarters, employee benefits services unrelated to healthcare",45 CFR 160.103,Medical clinic and health plan are healthcare components
HE-010,Mental Health Center with Social Services,Community mental health provider with affiliated social services agency,"Mental health treatment, psychiatric care, counseling","Social services unrelated to mental health treatment, case management",45 CFR 160.103,Mental health treatment covered; general social services evaluated separately
