citation,hipaa_title,full_citation,industry_standard_regulation_id
45 CFR 164.308(a)(1)(i),Security Management Process,45 CFR § 164.308(a)(1)(i),HIPAA 1996
45 CFR 164.308(a)(1)(ii)(A),Risk Analysis,45 CFR § 164.308(a)(1)(ii)(A),HIPAA 1996
45 CFR 164.308(a)(1)(ii)(B),Risk Management,45 CFR § 164.308(a)(1)(ii)(B),HIPAA 1996
45 CFR 164.308(a)(1)(ii)(C),Sanction Policy,45 CFR § 164.308(a)(1)(ii)(C),HIPAA 1996
45 CFR 164.308(a)(1)(ii)(D),Information System Activity Review,45 CFR § 164.308(a)(1)(ii)(D),HIPAA 1996
45 CFR 164.308(a)(2),Assigned Security Responsibility,45 CFR § 164.308(a)(2),HIPAA 1996
45 CFR 164.308(a)(3),Workforce Security,45 CFR § 164.308(a)(3),HIPAA 1996
45 CFR 164.308(a)(3)(ii)(A),Authorization and Supervision,45 CFR § 164.308(a)(3)(ii)(A),HIPAA 1996
45 CFR 164.308(a)(3)(ii)(B),Workforce Clearance,45 CFR § 164.308(a)(3)(ii)(B),HIPAA 1996
45 CFR 164.308(a)(3)(ii)(C),Termination Procedures,45 CFR § 164.308(a)(3)(ii)(C),HIPAA 1996
45 CFR 164.308(a)(4),Information Access Management,45 CFR § 164.308(a)(4),HIPAA 1996
45 CFR 164.308(a)(4)(ii)(B),Access Authorization,45 CFR § 164.308(a)(4)(ii)(B),HIPAA 1996
45 CFR 164.308(a)(4)(ii)(C),Access Review,45 CFR § 164.308(a)(4)(ii)(C),HIPAA 1996
45 CFR 164.308(a)(5),Security Awareness and Training,45 CFR § 164.308(a)(5),HIPAA 1996
45 CFR 164.308(a)(5)(ii)(A),Security Reminders,45 CFR § 164.308(a)(5)(ii)(A),HIPAA 1996
45 CFR 164.308(a)(5)(ii)(B),Malware Protection,45 CFR § 164.308(a)(5)(ii)(B),HIPAA 1996
45 CFR 164.308(a)(5)(ii)(C),Login Monitoring,45 CFR § 164.308(a)(5)(ii)(C),HIPAA 1996
45 CFR 164.308(a)(5)(ii)(D),Password Management,45 CFR § 164.308(a)(5)(ii)(D),HIPAA 1996
45 CFR 164.308(a)(6),Security Incident Procedures,45 CFR § 164.308(a)(6),HIPAA 1996
45 CFR 164.308(a)(6)(ii),Incident Reporting and Response,45 CFR § 164.308(a)(6)(ii),HIPAA 1996
45 CFR 164.308(a)(7),Contingency Planning,45 CFR § 164.308(a)(7),HIPAA 1996
45 CFR 164.308(a)(7)(ii)(A),Data Backup Plan,45 CFR § 164.308(a)(7)(ii)(A),HIPAA 1996
45 CFR 164.308(a)(7)(ii)(B),Disaster Recovery Plan,45 CFR § 164.308(a)(7)(ii)(B),HIPAA 1996
45 CFR 164.308(a)(7)(ii)(C),Emergency Mode Operations Plan,45 CFR § 164.308(a)(7)(ii)(C),HIPAA 1996
45 CFR 164.308(a)(7)(ii)(D),Testing and Revision Procedures,45 CFR § 164.308(a)(7)(ii)(D),HIPAA 1996
45 CFR 164.308(a)(8),Evaluation,45 CFR § 164.308(a)(8),HIPAA 1996
45 CFR 164.308(b)(1),Business Associate Contracts,45 CFR § 164.308(b)(1),HIPAA 1996
