breach_id,breach_type,description,severity,affected_individuals_count,cfr_citation
SB-001,Unauthorized Access,Employee accessed patient medical records without authorization or business need during data mining activity,High,1250,45 CFR 164.404
SB-002,Lost or Stolen Device,Unencrypted laptop containing patient PHI lost by traveling healthcare professional at airport,Critical,8500,45 CFR 164.312(a)(2)(i)
SB-003,Phishing Attack,Workforce members deceived by phishing email to reveal login credentials resulting in unauthorized system access,High,3200,45 CFR 164.308(a)(5)(ii)
SB-004,Ransomware Infection,Ransomware encrypted ePHI systems and attackers demanded ransom but data not confirmed exfiltrated,Critical,15000,45 CFR 164.308(a)(5)(ii)(A)
SB-005,Unencrypted Email Transmission,PHI transmitted via unencrypted email to external party in error affecting multiple patients,Medium,450,45 CFR 164.312(a)(2)(iii)
SB-006,Improper Data Disposal,Medical records containing PHI discarded in dumpster found by member of public,High,2100,45 CFR 164.310(d)(2)
SB-007,Database SQL Injection,Hacker exploited database vulnerability to access and exfiltrate patient records,Critical,12000,45 CFR 164.312(a)(2)(i)
SB-008,Misdirected Fax,PHI fax containing patient information sent to incorrect fax number but promptly recalled,Low,85,45 CFR 164.312(a)(2)(iii)
SB-009,Insider Threat - Disgruntled Employee,Employee with system access intentionally downloaded and attempted to sell PHI to third party,Critical,5500,45 CFR 164.308(a)(3)
SB-010,Cloud Storage Misconfiguration,Public cloud bucket misconfigured exposed patient records accessible to internet,Critical,18000,45 CFR 164.312(a)(2)(i)
SB-011,Unattended Workstation,Patient information visible on unattended workstation accessed by unauthorized visitor,Low,12,45 CFR 164.310(c)
SB-012,Third-Party Breach,Business associate breach exposing covered entity patient PHI without proper notification,High,6800,45 CFR 164.504(e)(1)(ii)(C)
SB-013,Weak Password Exploitation,Attacker used weak default password to access system containing hundreds of patient records,Medium,890,45 CFR 164.312(a)(2)(i)
SB-014,Unencrypted Backup Tapes Lost,Multiple backup tapes containing unencrypted ePHI lost in transit from data center,Critical,22000,45 CFR 164.308(a)(7)(ii)(A)
SB-015,Medical Identity Theft,Fraudster used stolen PHI to obtain medical services and prescription medications,High,340,45 CFR 164.404(b)
SB-016,Network Sniffing,Network traffic captured revealing unencrypted PHI transmissions between systems,High,4200,45 CFR 164.312(a)(2)(iv)
SB-017,Malware Installation,Malware installed on clinical workstations logged keystrokes capturing PHI and credentials,Critical,9800,45 CFR 164.308(a)(5)(ii)(B)
SB-018,Paper Records Theft,File cabinet containing patient medical records stolen from office,Medium,560,45 CFR 164.310(b)
SB-019,Vendor Portal Breach,Third-party vendor portal compromised exposing connected entity patient data,High,7100,45 CFR 164.504(e)
SB-020,Account Takeover,Attacker compromised provider account credentials and accessed patient records for 90 days undetected,Critical,11300,45 CFR 164.308(a)(4)(ii)
