regulator_id,name,authority,enforcement_powers,investigation_process,cfr_citation
REG-001,Office for Civil Rights (OCR),HHS enforces HIPAA Privacy Security and Breach Notification Rules,"Issue warnings, assess civil penalties up to $1.5M annually, negotiate settlements, demand corrective actions, coordinate criminal referrals","Receive complaints, conduct preliminary review, notify entity, gather information, investigate, issue determination",45 CFR 160.300-308
REG-002,Centers for Medicare & Medicaid Services (CMS),Federal agency administering Medicare and Medicaid,"Deny or revoke Medicare/Medicaid funds, recommend exclusion from federal programs, enforce conditions of participation",Coordinate with OCR, conduct program audits, review entity compliance with participation requirements,42 USC 1320a-7
REG-003,Department of Justice (DOJ),Federal law enforcement enforces criminal HIPAA violations,"Prosecute criminal cases, seek fines and imprisonment, seize assets, pursue conspiracy charges, seek injunctive relief","Receive criminal referral from OCR, conduct grand jury investigation, file charges, pursue prosecution",42 USC 1320d-6
REG-004,State Attorneys General,State law enforcement authority,"Enforce state HIPAA counterparts, coordinate civil investigations, issue subpoenas, seek state penalties and injunctions","Receive complaints, investigate, coordinate with OCR, issue civil investigative demands, negotiate settlements",42 USC 1320d-3; 45 CFR 160.300
REG-005,Federal Trade Commission (FTC),Consumer protection authority for non-HIPAA entities,"Enforce Health Breach Notification Rule for non-HIPAA entities, assess civil penalties, coordinate with state AGs","Receive breach notifications, investigate violations, conduct enforcement, seek consumer redress",16 CFR Part 318
REG-006,State Health Departments,State healthcare regulatory agencies,"Enforce state health laws, coordinate with OCR, license/discipline providers, investigate facility complaints","Conduct facility inspections, receive complaints, investigate, coordinate with OCR, recommend enforcement",State regulations and 45 CFR 160.300
REG-007,State Insurance Commissioners,Regulate health insurance plans and carriers,"Enforce state insurance laws, oversee health plan compliance, license health plans, assess penalties","Conduct audits, receive complaints, investigate health plans, coordinate with OCR, enforce state law",State insurance codes; 45 CFR 160.300
REG-008,Inspector General (OIG) Office,HHS oversight of fraud waste and abuse,"Exclude from federal programs, seek civil monetary penalties, recommend criminal prosecution, conduct audits","Conduct fraud investigations, audit entity billing and practices, refer to DOJ, maintain exclusion list",42 USC 1320a-7
REG-009,Substance Abuse and Mental Health Services Administration (SAMHSA),Regulates and enforces 42 CFR Part 2 substance use disorder records,"Enforce 42 CFR Part 2 stricter standards than HIPAA, assess civil penalties, recommend criminal prosecution","Receive complaints, investigate Part 2 violations, coordinate with OCR, enforce stricter rules",42 CFR Part 2
REG-010,State Data Protection Authorities,State-level privacy and data protection oversight,"Enforce state privacy laws, issue fines, require notifications, coordinate with federal regulators, issue guidance","Receive breach notifications, investigate violations, issue orders, coordinate with OCR, impose penalties",State privacy and breach notification laws
