recipient_id,recipient_type,notification_method,timeline,cfr_citation,framework_version,old_recipient_id,status
NR-001-v2,Affected Individual,Written mail or email,Without unreasonable delay but no more than 60 calendar days from discovery,45 CFR 164.404(b),HIPAA_2026_v2,NR-001,Active
NR-002-v2,Secretary of HHS,Electronic submission to OCR,Without unreasonable delay but no more than 60 calendar days,45 CFR 164.404(b),HIPAA_2026_v2,NR-002,Active
NR-003-v2,Media Outlets,Press release or direct contact,Simultaneously with individual notification if 500+ affected,45 CFR 164.404(b),HIPAA_2026_v2,NR-003,Active
NR-004-v2,Law Enforcement,Direct contact or written notice,As directed by law enforcement or without unreasonable delay,45 CFR 164.404(b),HIPAA_2026_v2,NR-004,Active
NR-005-v2,Business Associates,Direct notice or email,Without unreasonable delay after determination of breach,45 CFR 164.504(e),HIPAA_2026_v2,NR-005,Active
NR-006-v2,Workforce Members,Email notice and training materials,Without unreasonable delay,45 CFR 164.308(a)(5),HIPAA_2026_v2,NR-006,Active
NR-007-v2,Regulators (State Attorneys General),Electronic submission,Same timeline as HHS notification if breach affects state residents,45 CFR 164.404(b),HIPAA_2026_v2,NR-007,Active
NR-008-v2,Health Plans,Electronic submission and written notice,Without unreasonable delay but no more than 60 calendar days,45 CFR 164.404(b),HIPAA_2026_v2,NR-008,Active
NR-009-v2,Covered Entity Board/Leadership,Internal briefing,Immediately upon discovery,45 CFR 164.404(a),HIPAA_2026_v2,NR-009,Active
NR-010-v2,Insurance Providers,Direct notice and documentation,As required by insurance policy and breach agreement,45 CFR 164.404,HIPAA_2026_v2,NR-010,Active
