webresource_id,url,referenced_by_count,source_document
web_www_sec_gov_edgar_searchedgar_companysearch_html,https://www.sec.gov/edgar/searchedgar/companysearch.html,3,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_usaspending_gov,https://www.usaspending.gov/,2,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_sam_gov,https://sam.gov/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_projects_propublica_org_nonprofits,https://projects.propublica.org/nonprofits/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_bbb_org,https://www.bbb.org/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_gov_uk_government_organisations_companies_house,https://www.gov.uk/government/organisations/companies-house,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_northdata_com,https://www.northdata.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_ec_europa_eu_eurostat,https://ec.europa.eu/eurostat,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_search_gleif_org,https://search.gleif.org/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_zaubacorp_com,https://www.zaubacorp.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_asic_gov_au,https://asic.gov.au/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_acra_gov_sg,https://www.acra.gov.sg/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_cr_gov_hk,https://www.cr.gov.hk/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_mca_gov_in,https://www.mca.gov.in/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_jetro_go_jp,https://www.jetro.go.jp/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_linkedin_com,https://www.linkedin.com/,2,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_glassdoor_com,https://www.glassdoor.com/,2,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_crunchbase_com,https://www.crunchbase.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_owler_com,https://www.owler.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_builtwith_com,https://builtwith.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_wappalyzer_com,https://www.wappalyzer.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_netcraft_com,https://www.netcraft.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_radar_cloudflare_com,https://radar.cloudflare.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_shodan_io,https://www.shodan.io/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_uspto_gov_patents,https://www.uspto.gov/patents,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_osha_gov,https://www.osha.gov/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_importyeti_com,https://www.importyeti.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_gsa_gov,https://www.gsa.gov/,2,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_reuters_com,https://www.reuters.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_bloomberg_com,https://www.bloomberg.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_ft_com,https://www.ft.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_cisa_gov_news_events_cybersecurity_advisories,https://www.cisa.gov/news-events/cybersecurity-advisories,3,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_github_com,https://github.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_stackoverflow_com,https://stackoverflow.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_nist_gov_cyberframework,https://www.nist.gov/cyberframework,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_iso_org,https://www.iso.org/,3,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_isaca_org_resources_cobit,https://www.isaca.org/resources/cobit,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_ted_europa_eu,https://ted.europa.eu/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_aicpa_org,https://www.aicpa.org/,2,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_haveibeenpwned_com,https://haveibeenpwned.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_ocrportal_hhs_gov_ocr_breach_breach_report_jsf,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_enisa_europa_eu_topics_threat_risk_management_threats_and_trends,https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_ftc_gov,https://www.ftc.gov/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_enforcementtracker_com,https://www.enforcementtracker.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_ico_org_uk_action_weve_taken,https://ico.org.uk/action-weve-taken/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_enisa_europa_eu,https://www.enisa.europa.eu/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_cloudsecurityalliance_org_star,https://cloudsecurityalliance.org/star/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_virustotal_com,https://www.virustotal.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_nvd_nist_gov,https://nvd.nist.gov/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_attack_mitre_org,https://attack.mitre.org/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_cve_mitre_org,https://cve.mitre.org/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_cisa_gov_uscert_ics,https://www.cisa.gov/uscert/ics,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_darkreading_com,https://www.darkreading.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_bleepingcomputer_com,https://www.bleepingcomputer.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
web_www_securityweek_com,https://www.securityweek.com/,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
