source_id,target_id,rel_type,url,shared_with_others,source_document
es_sec_edgar,web_www_sec_gov_edgar_searchedgar_companysearch_html,AVAILABLE_AT,https://www.sec.gov/edgar/searchedgar/companysearch.html,true,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_usaspending_gov,web_www_usaspending_gov,AVAILABLE_AT,https://www.usaspending.gov/,true,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_sam_gov,web_sam_gov,AVAILABLE_AT,https://sam.gov/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_propublica_nonprofit_explorer,web_projects_propublica_org_nonprofits,AVAILABLE_AT,https://projects.propublica.org/nonprofits/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_better_business_bureau_bbb,web_www_bbb_org,AVAILABLE_AT,https://www.bbb.org/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_companies_house_uk,web_www_gov_uk_government_organisations_companies_house,AVAILABLE_AT,https://www.gov.uk/government/organisations/companies-house,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_north_data,web_www_northdata_com,AVAILABLE_AT,https://www.northdata.com/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_eurostat_business_registries,web_ec_europa_eu_eurostat,AVAILABLE_AT,https://ec.europa.eu/eurostat,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_gleif_lei_search,web_search_gleif_org,AVAILABLE_AT,https://search.gleif.org/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_zaubacorp,web_www_zaubacorp_com,AVAILABLE_AT,https://www.zaubacorp.com/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_asic_australia,web_asic_gov_au,AVAILABLE_AT,https://asic.gov.au/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_acra_singapore,web_www_acra_gov_sg,AVAILABLE_AT,https://www.acra.gov.sg/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_companies_registry_hong_kong,web_www_cr_gov_hk,AVAILABLE_AT,https://www.cr.gov.hk/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_ministry_of_corporate_affairs_india,web_www_mca_gov_in,AVAILABLE_AT,https://www.mca.gov.in/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_japan_external_trade_organization_jetro,web_www_jetro_go_jp,AVAILABLE_AT,https://www.jetro.go.jp/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_linkedin,web_www_linkedin_com,AVAILABLE_AT,https://www.linkedin.com/,true,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_glassdoor,web_www_glassdoor_com,AVAILABLE_AT,https://www.glassdoor.com/,true,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_crunchbase,web_www_crunchbase_com,AVAILABLE_AT,https://www.crunchbase.com/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_owler,web_www_owler_com,AVAILABLE_AT,https://www.owler.com/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_builtwith,web_builtwith_com,AVAILABLE_AT,https://builtwith.com/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_wappalyzer,web_www_wappalyzer_com,AVAILABLE_AT,https://www.wappalyzer.com/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_netcraft,web_www_netcraft_com,AVAILABLE_AT,https://www.netcraft.com/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_cloudflare_radar,web_radar_cloudflare_com,AVAILABLE_AT,https://radar.cloudflare.com/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_shodan_censys,web_www_shodan_io,AVAILABLE_AT,https://www.shodan.io/,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
