guidanceparagraph_id,guidancesection_id,sequence,text,source_document
GS-01-P01,GS-01,1,"The Australian Signals Directorate (ASD) has developed prioritised mitigation strategies, in the form of the Strategies to Mitigate Cyber Security Incidents, to help organisations protect themselves against various cyber threats. The most effective of these mitigation strategies are the Essential Eight.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-01-P02,GS-01,2,"The Essential Eight has been designed to protect organisations' internet-connected information technology networks. While the principles behind the Essential Eight may be applied to enterprise mobility and operational technology networks, it was not designed for such purposes and alternative mitigation strategies may be more appropriate to defend against unique cyber threats to these environments.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-01-P03,GS-01,3,"The Essential Eight Maturity Model, first published in June 2017 and updated regularly, supports the implementation of the Essential Eight. It is based on ASD's experience in producing cyber threat intelligence, responding to cyber security incidents, conducting penetration testing and assisting organisations to implement the Essential Eight.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-02-P01,GS-02,1,"When implementing the Essential Eight, organisations should identify and plan for a target maturity level suitable for their environment. Organisations should then progressively implement each maturity level until that target is achieved.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-02-P02,GS-02,2,"As the mitigation strategies that constitute the Essential Eight have been designed to complement each other, and to provide coverage of various cyber threats, organisations should plan their implementation to achieve the same maturity level across all eight mitigation strategies before moving onto higher maturity levels.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-02-P03,GS-02,3,"Organisations should implement the Essential Eight using a risk-based approach. In doing so, organisations should seek to minimise any exceptions and their scope, for example, by implementing compensating controls and ensuring the number of systems or users impacted are minimised. In addition, any exceptions should be documented and approved through an appropriate process. Subsequently, the need for any exceptions, and associated compensating controls, should be monitored and reviewed on a regular basis. Note, the appropriate use of exceptions should not preclude an organisation from being assessed as meeting the requirements for a given maturity level.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-02-P04,GS-02,4,"As the Essential Eight outlines a minimum set of preventative measures, organisations need to implement additional measures to those within this maturity model where it is warranted by their environment. Further, while the Essential Eight can help to mitigate the majority of cyber threats, it will not mitigate all cyber threats. As such, additional mitigation strategies and controls need to be considered, including those from the Strategies to Mitigate Cyber Security Incidents and the Information Security Manual.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-02-P05,GS-02,5,"Finally, there is no requirement for organisations to have their Essential Eight implementation certified by an independent party. However, Essential Eight implementations may need to be assessed by an independent party if required by a government directive or policy, by a regulatory authority, or as part of contractual arrangements.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-03-P01,GS-03,1,"To assist organisations with their implementation of the Essential Eight, four maturity levels have been defined (Maturity Level Zero through to Maturity Level Three). With the exception of Maturity Level Zero, the maturity levels are based on mitigating increasing levels of tradecraft (i.e. tools, tactics, techniques and procedures) and targeting, which are discussed in more detail below. Depending on overall capability, malicious actors may exhibit different levels of tradecraft for different operations against different targets. For example, malicious actors capable of advanced tradecraft may use it against one target while using basic tradecraft against another. As such, organisations should consider what level of tradecraft and targeting, rather than which malicious actors, they are aiming to mitigate.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-03-P02,GS-03,2,"Organisations need to consider that the likelihood of being targeted is influenced by their desirability to malicious actors, and the consequences of a cyber security incident will depend on their requirement for the confidentiality of their data, as well as their requirement for the availability and integrity of their systems and data. This, in combination with the descriptions for each maturity level, can be used to help determine a target maturity level to implement.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-03-P03,GS-03,3,"Finally, Maturity Level Three will not stop malicious actors that are willing and able to invest enough time, money and effort to compromise a target. As such, organisations still need to consider the remainder of the mitigation strategies from the Strategies to Mitigate Cyber Security Incidents and the Information Security Manual.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-04-P01,GS-04,1,"Requirements for Maturity Level One through to Maturity Level Three are outlined in Appendices A to C. A comparison of the maturity levels, with changes between maturity levels indicated via bolded text, is outlined in Appendix D.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-05-P01,GS-05,1,The Essential Eight Maturity Model is part of a suite of related publications:,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-05-P02,GS-05,2, Answers to questions on this maturity model are available in the Essential Eight Maturity Model FAQ publication.  Additional mitigation strategies are available in the Strategies to Mitigate Cyber Security Incidents publication.  Further Information on patching activities is available in the Patching Applications and Operating Systems publication.  Further Information on implementing multi-factor authentication is available in the Implementing Multi-Factor Authentication publication.  Further Information on controlling privileged user accounts is available in the Restricting Administrator Privileges publication.  Further Information on implementing application control is available in the Implementing Application Control publication.  Further Information on controlling Microsoft Office macros is available in the Restricting Microsoft Office Macros publication.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
GS-06-P01,GS-06,1,If you have any questions regarding this guidance you can write to us or call us on 1300 CYBER1 (1300 292 371).,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
