source_node_id,source_node_label,relationship_type,target_section_id,official_citation
ADMIN-001,AdministrativeSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(A)(1),N.Y. GBL § 899-bb(2)(b)(ii)(A)(1)
ADMIN-002,AdministrativeSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(A)(2),N.Y. GBL § 899-bb(2)(b)(ii)(A)(2)
ADMIN-003,AdministrativeSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(A)(3),N.Y. GBL § 899-bb(2)(b)(ii)(A)(3)
ADMIN-004,AdministrativeSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(A)(4),N.Y. GBL § 899-bb(2)(b)(ii)(A)(4)
ADMIN-005,AdministrativeSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(A)(5),N.Y. GBL § 899-bb(2)(b)(ii)(A)(5)
ADMIN-006,AdministrativeSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(A)(6),N.Y. GBL § 899-bb(2)(b)(ii)(A)(6)
TECH-001,TechnicalSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(B)(1),N.Y. GBL § 899-bb(2)(b)(ii)(B)(1)
TECH-002,TechnicalSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(B)(2),N.Y. GBL § 899-bb(2)(b)(ii)(B)(2)
TECH-003,TechnicalSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(B)(3),N.Y. GBL § 899-bb(2)(b)(ii)(B)(3)
TECH-004,TechnicalSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(B)(4),N.Y. GBL § 899-bb(2)(b)(ii)(B)(4)
PHYS-001,PhysicalSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(C)(1),N.Y. GBL § 899-bb(2)(b)(ii)(C)(1)
PHYS-002,PhysicalSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(C)(2),N.Y. GBL § 899-bb(2)(b)(ii)(C)(2)
PHYS-003,PhysicalSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(C)(3),N.Y. GBL § 899-bb(2)(b)(ii)(C)(3)
PHYS-004,PhysicalSafeguard,DEFINED_IN_SECTION,4(2)(b)(ii)(C)(4),N.Y. GBL § 899-bb(2)(b)(ii)(C)(4)
DEF-001,StatutoryDefinition,DEFINED_IN_SECTION,3(1)(a),N.Y. GBL § 899-aa(1)(a)
DEF-002,StatutoryDefinition,DEFINED_IN_SECTION,3(1)(b),N.Y. GBL § 899-aa(1)(b)
DEF-003,StatutoryDefinition,DEFINED_IN_SECTION,3(1)(c),N.Y. GBL § 899-aa(1)(c)
DEF-004,StatutoryDefinition,DEFINED_IN_SECTION,3(1)(d),N.Y. GBL § 899-aa(1)(d)
DEF-005,StatutoryDefinition,DEFINED_IN_SECTION,4(2)(a),N.Y. GBL § 899-bb(2)(a)
DEF-006,StatutoryDefinition,DEFINED_IN_SECTION,4(2)(b)(ii)(A)(5),N.Y. GBL § 899-bb(2)(b)(ii)(A)(5)
DEF-007,StatutoryDefinition,DEFINED_IN_SECTION,4(1)(a),N.Y. GBL § 899-bb(1)(a)
DEF-008,StatutoryDefinition,DEFINED_IN_SECTION,4(1)(c),N.Y. GBL § 899-bb(1)(c)
DEF-009,StatutoryDefinition,DEFINED_IN_SECTION,4(2)(e),N.Y. GBL § 899-bb(2)(e)
