concept_id,name,article_reference,sub_article,page_reference,category,mandatory,description,related_standards
CONCEPT_ART21_2A,Risk Analysis and Information System Security Policy,Article_21,21(2)(a),p. 55-56,Risk Management,TRUE,Policies on risk analysis and information system security,ISO/IEC 27001:2022 (Clause 6.1)
CONCEPT_ART21_2B,Incident Handling,Article_21,21(2)(b),p. 56,Incident Response,TRUE,Incident handling procedures including detection response recovery,ISO/IEC 27035:2023
CONCEPT_ART21_2C,Business Continuity and Crisis Management,Article_21,21(2)(c),p. 56,Resilience,TRUE,Business continuity including backup management disaster recovery crisis management,ISO 22301:2019|ISO/IEC 27031:2011
CONCEPT_ART21_2D,Supply Chain Security,Article_21,21(2)(d),p. 56,Third-Party Risk,TRUE,Security in supply chain relationships including supplier assessments and contractual security clauses,ISO/IEC 27036 series
CONCEPT_ART21_2E,Security in Acquisition Development Maintenance,Article_21,21(2)(e),p. 56,Secure SDLC,TRUE,Security in acquisition development and maintenance of network/information systems including vulnerability handling and disclosure,ISO/IEC 27034:2011
CONCEPT_ART21_2F,Effectiveness Assessment,Article_21,21(2)(f),p. 56,Governance,TRUE,Policies and procedures to assess effectiveness of cybersecurity risk-management measures,ISO/IEC 27004:2016
CONCEPT_ART21_2G,Cyber Hygiene and Training,Article_21,21(2)(g),p. 56,Awareness,TRUE,Basic cyber hygiene practices and cybersecurity training including phishing awareness software updates zero-trust principles,ISO/IEC 27002:2022 (Clause 6.3)
CONCEPT_ART21_2H,Cryptography and Encryption,Article_21,21(2)(h),p. 56,Data Protection,TRUE,Policies and procedures on the use of cryptography and encryption including end-to-end encryption where applicable,ISO/IEC 27002:2022 (Clause 8.24)|NIST FIPS 140-3
CONCEPT_ART21_2I,Human Resources Security Access Control Asset Management,Article_21,21(2)(i),p. 56-57,Identity Management,TRUE,Human resources security access control policies and asset management,ISO/IEC 27002:2022 (Clauses 6.1-6.8 5.9-5.18 5.7-5.14)
CONCEPT_ART21_2J,Multi-Factor Authentication and Secure Communications,Article_21,21(2)(j),p. 57,Authentication,TRUE,Use of multi-factor authentication or continuous authentication solutions secured voice/video/text communications secured emergency communication systems,NIST SP 800-63B|ISO/IEC 27002:2022 (Clause 5.17)
CONCEPT_NATIONAL_STRATEGY,National Cybersecurity Strategy,Article_7,7(1),p. 36-38,Strategic Policy,TRUE,Member State strategic document with objectives resources policy/regulatory measures for high-level cybersecurity. Must include governance risk assessment preparedness public awareness.,N/A
CONCEPT_INCIDENT_NOTIFICATION,Incident Notification (3-stage),Article_23,23(1-4),p. 58-60,Reporting,TRUE,Three-stage reporting: Early warning ≤24h Incident notification ≤72h with initial assessment/severity/impact/IoCs Final report ≤1 month,N/A
CONCEPT_SIGNIFICANT_INCIDENT,Significant Incident,Article_23,23(3),p. 58,Incident Classification,TRUE,Incident causing/capable of causing: (a) severe operational disruption or financial loss OR (b) considerable material/non-material damage to other persons,N/A
CONCEPT_VULNERABILITY_DISCLOSURE,Coordinated Vulnerability Disclosure,Article_12,12(1-3),p. 43-44,Vulnerability Management,TRUE,CSIRT-coordinated process for reporting/disclosing vulnerabilities in ICT products/services,ISO/IEC 29147:2018|ISO/IEC 30111:2019
CONCEPT_EUROPEAN_VULNERABILITY_DB,European Vulnerability Database,Article_12,12(4-5),p. 44,Vulnerability Management,TRUE,ENISA-maintained database for voluntary disclosure/registration of publicly known vulnerabilities,N/A
CONCEPT_NETWORK_INFO_SYSTEM,Network and Information System,Article_3,3(1),p. 31-32,Technical Object,N/A,Network/information system electronic communications network information system or network element,ISO/IEC 27000:2018
CONCEPT_CYBER_THREAT,Cyber Threat,Article_3,3(5),p. 32,Threat,N/A,Potential circumstance event or action that could damage disrupt or adversely impact network and information systems users or other persons,N/A
CONCEPT_SIGNIFICANT_CYBER_THREAT,Significant Cyber Threat,Article_23,23(2),p. 58,Threat,TRUE,Cyber threat that if materialised could adversely affect provision of services or negatively affect customers/users,N/A
