org_id,data_type,category,description,data_source,last_updated,country,value_numeric,value_text,notes
ORG_002,ENTITY_COUNT_GERMANY,Entity Count,Estimated entities in Germany,German Federal Office for Information Security (BSI),2025-12-06,Germany,29500,29500 entities,"29,500 entities (increased from 4,500 under NIS1). Breakdown: ~3,000 operators of critical facilities (KRITIS) classified as 'particularly important' ~26,500 other essential/important entities"
ORG_003,ENTITY_COUNT_ITALY,Entity Count,Estimated entities in Italy,Italian National Cybersecurity Agency (ACN),2024-10-18,Italy,50000,50000 entities,"50,000 entities expected to register. Registration platform operational since October 18 2024 at https://platform.acn.gov.it"
ORG_004,ENTITY_COUNT_ROMANIA,Entity Count,Estimated entities in Romania,Romanian National Cyber Security Directorate (DNSC),2025-07-01,Romania,12000,12000 entities,"12,000 entities estimated. Final implementation effective July 1 2025"
ORG_005,ENTITY_COUNT_BELGIUM,Entity Count,Registration requirement Belgium,Centre for Cybersecurity Belgium (CCB),2025-03-18,Belgium,N/A,Undisclosed,All NIS2 entities required to register by March 18 2025 via https://atwork.safeonweb.be. Digital sector entities deadline: December 18 2024. Total count not publicly disclosed but registration ongoing
ORG_008,KRITIS_GERMANY,Critical Infrastructure,German Critical Infrastructure Operators,BSI (Bundesamt für Sicherheit in der Informationstechnik),2025-12-06,Germany,3000,3000 KRITIS operators,Approximately 3000 operators of critical facilities (subset of 29500 total). Subject to enhanced obligations: mandatory attack detection systems evidence of compliance every 3 years critical component tracking
ORG_009,CRITICAL_INFRA_BELGIUM,Critical Infrastructure,Belgian Critical Infrastructure Operators,Law of July 1 2011 on Critical Infrastructure,2024-10-18,Belgium,N/A,Critical entities,Operators of critical infrastructure under Belgian law automatically classified as NIS2 essential entities regardless of size
ORG_013,REGISTRATION_PLATFORM_BELGIUM,Registration Platform,Belgian registration portal,Centre for Cybersecurity Belgium (CCB),2024-10-18,Belgium,N/A,https://atwork.safeonweb.be,Safeonweb@Work platform: https://atwork.safeonweb.be. Requires Belgian enterprise number (CBE). Legal representatives can register via eID/ItsMe. Delegates use My eGov Role Management
ORG_014,REGISTRATION_PLATFORM_GERMANY,Registration Platform,German registration portal,German Federal Office for Information Security (BSI),2026-01-06,Germany,N/A,https://www.bsi.bund.de,BSI Portal opened January 6 2026. Entities must register within 3 months of law's entry into force (by March 6 2026). Joint platform with Federal Office of Civil Protection (BBK)
ORG_015,REGISTRATION_PLATFORM_ITALY,Registration Platform,Italian registration portal,Italian National Cybersecurity Agency (ACN),2024-10-18,Italy,N/A,https://www.acn.gov.it,ACN digital platform operational since October 18 2024. Self-registration deadline initially February 28 2025 (extended in some cases)
ORG_016,APPROVED_CABS_BELGIUM,Certification Bodies,CCB-approved Certification Bodies,Centre for Cybersecurity Belgium (CCB),2025-12-01,Belgium,7,7 approved CABs,SGS Belgium Amtivo Ireland Bureau Veritas Belgium Lloyd's Register EMEA TÜV Rheinland BSI Group Belgium Vinçotte (Kiwa Belgium). All authorized for ISO 27001:2022 certification in NIS2 context
ORG_017,SUPERVISORY_MODEL_GERMANY,Supervisory Model,German enforcement structure,BSI / Sectoral authorities,2025-12-06,Germany,N/A,BSI + sectoral authorities,BSI as central authority for most sectors. Sectoral authorities: BaFin (finance) BNetzA (energy/telecoms) Luftfahrt-Bundesamt (aviation). Operators of critical facilities subject to BSI inspection every 3 years
ORG_018,SUPERVISORY_MODEL_BELGIUM,Supervisory Model,Belgian enforcement structure,Centre for Cybersecurity Belgium (CCB),2024-10-18,Belgium,N/A,CCB + sectoral services,CCB as central authority. Sectoral inspection services for specific sectors. Essential entities: ex-ante + ex-post supervision. Important entities: ex-post only (reactive)
ORG_019,REPORTING_PORTAL_BELGIUM,Incident Reporting,Belgian incident reporting,CCB / CERT.be,2024-10-18,Belgium,N/A,CERT.be,Report to CERT.be (Belgium's national CSIRT). 24-hour early warning 72-hour incident notification 1-month final report. Portal integrated with Safeonweb@Work
