member_state,competent_authority_name,authority_type,website,csirt_name,csirt_website,single_point_of_contact,transposition_status,law_name,entry_into_force_date,estimated_entities,registration_deadline,registration_portal
Belgium,Centre for Cybersecurity Belgium (CCB),National Cybersecurity Authority,https://ccb.belgium.be,CERT.be,https://cert.be,CCB,TRANSPOSED,NIS2 Law (Loi NIS2 / NIS2-wet),2024-10-18,Undisclosed,2025-03-18 (general) / 2024-12-18 (digital),https://atwork.safeonweb.be
Germany,Federal Office for Information Security (BSI),Federal Cybersecurity Authority,https://www.bsi.bund.de,BSI CERT-Bund,https://www.bsi.bund.de/DE/Themen/CERT-Bund/cert-bund_node.html,BSI,TRANSPOSED,NIS2 Implementation Law (NIS2UmsuCG),2025-12-06,29500,2026-03-06,https://www.bsi.bund.de
France,Agence nationale de la sécurité des systèmes d'information (ANSSI),National Cybersecurity Agency,https://www.ssi.gouv.fr,CERT-FR,https://www.cert.ssi.gouv.fr,ANSSI,DRAFT,Draft Resilience Act,Expected 2026,Undisclosed,TBD,TBD
Italy,Agenzia per la Cybersicurezza Nazionale (ACN),National Cybersecurity Agency,https://www.acn.gov.it,CSIRT Italia,https://csirt.gov.it,ACN,TRANSPOSED,Legislative Decree implementing NIS2,2024-10-18,50000,2025-01-18,https://www.acn.gov.it
Netherlands,Dutch National Cyber Security Centre,National CSIRT,https://www.ncsc.nl,NCSC-NL,https://www.ncsc.nl,NCSC-NL,DRAFT,Cybersecurity Act,Expected Q2 2026,Undisclosed,TBD,TBD
Spain,National Cybersecurity Institute (INCIBE),National Cybersecurity Institute,https://www.incibe.es,INCIBE-CERT,https://www.incibe-cert.es,INCIBE,DRAFT,Draft NIS2 transposition law,Expected end 2025,Undisclosed,TBD,TBD
Finland,Finnish Transport and Communications Agency (Traficom),Regulatory Authority,https://www.traficom.fi,NCSC-FI,https://www.kyberturvallisuuskeskus.fi,Traficom,TRANSPOSED,NIS2 Act (NISLO),2025-07-01,Undisclosed,2025-09-30,TBD
Sweden,Swedish Civil Contingencies Agency (MSB),Civil Contingencies Agency,https://www.msb.se,CERT-SE,https://www.cert.se,MSB,DRAFT,Draft NIS2 law,Expected 2026,Undisclosed,TBD,TBD
Austria,Austrian Computer Emergency Response Team,National CERT,https://www.cert.at,CERT.at,https://www.cert.at,CERT.at,DRAFT,Draft law,Expected 2025,Undisclosed,TBD,TBD
Denmark,Danish Centre for Cyber Security,National Cybersecurity Centre,https://www.cfcs.dk,CFCS,https://www.cfcs.dk,CFCS,TRANSPOSED,NIS2 Implementation law,2025-07-01,Undisclosed,TBD,TBD
