deadline_id,deadline_name,duration_iso8601,fixed_date,article_reference,page_reference,applicable_to,description,consequence_of_miss
DL_EARLY_WARNING_24H,Early Warning Submission,PT24H,,Article_23,23(4)(a) p. 59,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,Submit early warning without undue delay and in any event within 24 hours of becoming aware of significant incident,Administrative fine enforcement measures
DL_INCIDENT_NOTIF_72H,Incident Notification Submission,PT72H,,Article_23,23(4)(b) p. 59-60,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,Submit incident notification without undue delay and in any event within 72 hours of becoming aware of significant incident with initial assessment severity impact indicators of compromise,Administrative fine enforcement measures
DL_FINAL_REPORT_1M,Final Report Submission,P1M,,Article_23,23(4)(d) p. 60,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,Submit final report not later than 1 month after incident notification including detailed description root cause mitigation measures cross-border impact,Administrative fine enforcement measures
DL_CSIRT_RESPONSE_24H,CSIRT Response to Early Warning,PT24H,,Article_23,23(5) p. 60,AGENT_CSIRT|AGENT_COMPETENT_AUTHORITY,Provide response without undue delay and where possible within 24 hours of receiving early warning including initial feedback and guidance on mitigation,Ineffective incident response
DL_TRANSPOSITION,Member State Transposition Deadline,,2024-10-17,Article_41,41(1) p. 85,AGENT_MEMBER_STATE,Member States adopt and publish measures necessary to comply with NIS 2 by 17 October 2024,Infringement proceedings
DL_EFFECTIVE_DATE,Directive Effective Date,,2024-10-18,Article_41,41(1) p. 85,AGENT_MEMBER_STATE,Member States apply transposed measures from 18 October 2024,Infringement proceedings
DL_ENTITY_LIST_FIRST,First Entity List Submission,,2025-04-17,Article_29,29(1) p. 67,AGENT_MEMBER_STATE,Member States submit to Commission by 17 April 2025: number of essential/important entities per sector/subsector,Infringement proceedings
DL_ENTITY_LIST_ANNUAL,Annual Entity List Update,P1Y,,Article_29,29(1) p. 67,AGENT_MEMBER_STATE,Member States submit annual updates to entity lists,Infringement proceedings outdated registry
DL_STRATEGY_NOTIFICATION,National Strategy Notification,P3M,,Article_7,7(3) p. 38,AGENT_MEMBER_STATE,Member States notify national cybersecurity strategies to Commission within 3 months of adoption,Infringement proceedings
DL_STRATEGY_REVIEW,National Strategy Review,P5Y,,Article_7,7(4) p. 38,AGENT_MEMBER_STATE,Member States assess and update national cybersecurity strategies at least every 5 years,Outdated strategy
DL_SUMMARY_REPORT_QUARTERLY,CSIRT Quarterly Summary Report to ENISA,P3M,,Article_23,23(9) p. 61,AGENT_SINGLE_POINT_CONTACT,Single point of contact submits to ENISA every 3 months summary report with anonymized/aggregated data on incidents threats near misses,Incomplete EU-level situational awareness
DL_COMMISSION_REVIEW,Commission Directive Review,,2027-10-17,Article_40,40(1) p. 85,European Commission,Commission reviews application/scope of NIS 2 and submits report to European Parliament/Council by 17 October 2027,N/A
