obligation_id,obligation_name,article_reference,page_reference,applies_to_agent_types,mandatory,description,verification_method,penalty_for_non_compliance
OBL_ART21_IMPLEMENT,Implement Cybersecurity Risk-Management Measures,Article_21,p. 55-57,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,TRUE,Take appropriate and proportionate technical operational organizational measures to manage cybersecurity risks. Must implement all 10 measures in Article 21(2)(a)-(j).,Security audit on-site inspection documentation review,Administrative fine: Essential €10M/2%; Important €7M/1.4%
OBL_ART23_REPORT_INCIDENTS,Report Significant Incidents (3-stage),Article_23,p. 58-61,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,TRUE,Report significant incidents in 3 stages: Early warning ≤24h Notification ≤72h Final report ≤1 month to CSIRT or competent authority.,Incident notification records timeline verification,Administrative fine: Essential €10M/2%; Important €7M/1.4%
OBL_ART20_MGMT_APPROVAL,Management Body Approval and Oversight,Article_20,p. 55,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,TRUE,Management body approves cybersecurity risk-management measures oversees implementation follows training. Members can be held liable for infringements under Article 20(3).,Management body meeting minutes training records,Potential liability of management members administrative fine on entity
OBL_ART23_NOTIFY_CUSTOMERS,Notify Customers of Significant Cyber Threats,Article_23,23(2),p. 58,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,TRUE,Communicate to service recipients without undue delay any measures/remedies they can take against significant cyber threats. Inform of threat itself where appropriate.,Customer notification records,Administrative fine binding instruction
OBL_ART27_SUBMIT_INFO,Submit Entity Information,Article_27,p. 65-66,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,TRUE,Submit to competent authorities: name address contact details (email IP ranges telephone) sector/subsector Member States where services provided.,Entity registration/submission records,Enforcement measures per Article 32/33
OBL_ART7_ADOPT_STRATEGY,Adopt National Cybersecurity Strategy,Article_7,p. 36-38,AGENT_MEMBER_STATE,TRUE,Adopt national cybersecurity strategy with objectives governance framework risk assessment preparedness measures public awareness plan. Review every 5 years.,Strategy publication notification to Commission,Infringement proceedings
OBL_ART8_DESIGNATE_AUTHORITIES,Designate Competent Authorities and Single Point of Contact,Article_8,p. 37,AGENT_MEMBER_STATE,TRUE,Designate one or more competent authorities for cybersecurity supervision and single point of contact for cross-border cooperation.,Notification to Commission,Infringement proceedings
OBL_ART10_ESTABLISH_CSIRT,Establish/Designate CSIRTs,Article_10,p. 39-41,AGENT_MEMBER_STATE,TRUE,Establish or designate CSIRTs with adequate resources for incident handling vulnerability coordination situational awareness.,CSIRT operational capability assessment,Infringement proceedings
OBL_ART29_SUBMIT_ENTITY_LISTS,Submit Entity Lists to Commission,Article_29,p. 67,AGENT_MEMBER_STATE,TRUE,Submit to Commission by 17 April 2025 (and annually thereafter): number of essential/important entities per sector/subsector.,Submission to Commission,Infringement proceedings
OBL_ART12_COORDINATE_VULN_DISCLOSURE,Coordinate Vulnerability Disclosure,Article_12,p. 43-44,AGENT_CSIRT,TRUE,Act as trusted intermediary for vulnerability disclosure identify/contact affected entities negotiate disclosure timelines manage multi-party disclosures.,Vulnerability disclosure coordination records,N/A
OBL_ART23_RECEIVE_NOTIFICATIONS,Receive and Process Incident Notifications,Article_23,p. 58-61,AGENT_CSIRT|AGENT_COMPETENT_AUTHORITY,TRUE,Receive incident notifications provide response ≤24h after early warning provide guidance/support inform other affected Member States where appropriate.,Notification processing logs response times,N/A
OBL_ART31_SUPERVISE_COMPLIANCE,Supervise Entity Compliance,Article_31,p. 70,AGENT_COMPETENT_AUTHORITY,TRUE,Effectively supervise and ensure compliance with NIS 2. May prioritize based on risk-based approach. Exercise powers per Articles 32/33.,Supervision records audit reports inspection logs,N/A
