control_framework_id,framework_name,standard_reference,issuing_organization,publication_date,maps_to_article_21,public_availability,framework_type,certification_available,belgium_nis2_recognized,description
FW_ISO27001_2022,ISO/IEC 27001:2022 Information Security Management,ISO/IEC 27001:2022,International Organization for Standardization (ISO),2022-10-25,TRUE,Purchasable standard,Management System Standard,TRUE,TRUE,International standard for ISMS. Annex A controls map to NIS2 Article 21 requirements. Recognized by Belgium CCB as equivalent to NIS2 compliance.
FW_ISO27002_2022,ISO/IEC 27002:2022 Information Security Controls,ISO/IEC 27002:2022,International Organization for Standardization (ISO),2022-02-15,TRUE,Purchasable standard,Control Catalog,FALSE,Implicit (via ISO 27001),Detailed implementation guidance for ISO 27001 Annex A controls. Covers organizational people physical and technological controls.
FW_ISO22301_2019,ISO 22301:2019 Business Continuity Management,ISO 22301:2019,International Organization for Standardization (ISO),2019-10-31,TRUE (Article 21(2)(c)),Purchasable standard,Management System Standard,TRUE,TRUE,BCM standard directly supporting Article 21(2)(c) requirements. Belgium CCB recognizes certification for business continuity compliance.
FW_ISO27035_2023,ISO/IEC 27035:2023 Incident Management,ISO/IEC 27035-1:2023,International Organization for Standardization (ISO),2023-03-01,TRUE (Article 21(2)(b)),Purchasable standard,Process Standard,FALSE,Implicit,Incident management framework supporting Article 21(2)(b) incident handling requirements and Article 23 reporting obligations.
FW_NIST_CSF_2,NIST Cybersecurity Framework v2.0,NIST CSF 2.0,National Institute of Standards and Technology (USA),2024-02-26,TRUE,Free download,Risk Management Framework,FALSE,Not explicitly recognized,Updated CSF with 6 functions: Govern Identify Protect Detect Respond Recover. Widely used internationally maps to NIS2 requirements.
FW_CYFUN_BELGIUM,CyberFundamentals (CyFun) Framework,CyFun,Centre for Cybersecurity Belgium (CCB),2024-01-01,TRUE,Free (Belgium-specific),National Cybersecurity Framework,TRUE,TRUE,Belgium-specific framework designed for NIS2 compliance. Three assurance levels corresponding to entity criticality. Alternative to ISO 27001 in Belgium.
FW_ISO27036,ISO/IEC 27036 series - Supply Chain Security,ISO/IEC 27036-1 to 27036-4,International Organization for Standardization (ISO),2021-07-01,TRUE (Article 21(2)(d)),Purchasable standard,Guideline Standard,FALSE,Implicit,Four-part standard covering supplier relationships requirements for acquiring managing outsourced services. Directly supports Article 21(2)(d).
FW_IEC62443,IEC 62443 Industrial Automation and Control Systems Security,IEC 62443 series,International Electrotechnical Commission (IEC),2018-ongoing,TRUE,Purchasable standard,Sector-Specific Standard,TRUE (CISP certification),Not explicitly recognized,Standard for industrial control systems security. Relevant for Energy Water Manufacturing sectors. Includes secure development lifecycle requirements.
FW_ISO27017,ISO/IEC 27017:2015 Cloud Services Information Security,ISO/IEC 27017:2015,International Organization for Standardization (ISO),2015-12-01,TRUE,Purchasable standard,Sector-Specific Standard,TRUE,Implicit,Additional controls for cloud service providers and cloud customers. Supplements ISO 27001 for Digital Infrastructure sector cloud providers.
FW_ISO27018,ISO/IEC 27018:2019 Cloud Privacy,ISO/IEC 27018:2019,International Organization for Standardization (ISO),2019-01-15,TRUE,Purchasable standard,Sector-Specific Standard,TRUE,Implicit,Cloud-specific privacy controls. Supports GDPR compliance alongside NIS2 for cloud service providers.
