agent_type_id,type_name,definition,page_reference,applicable_articles,supervisory_regime,max_fine_amount,max_fine_percentage,key_obligations
AGENT_ESSENTIAL_ENTITY,Essential Entity,Entities qualifying as medium-sized+ enterprises operating in high-criticality sectors (Annex I) or identified as critical entities under CER Directive 2022/2557,p. 31,Article_2|Article_6|Article_21|Article_23|Article_32,Ex-ante and ex-post,€10000000,0.02,"Implement Article 21 measures, report incidents (Article 23), approve measures via management body (Article 20)"
AGENT_IMPORTANT_ENTITY,Important Entity,Entities qualifying as medium-sized+ enterprises operating in other critical sectors (Annex II),p. 31,Article_2|Article_6|Article_21|Article_23|Article_33,Ex-post only,€7000000,0.014,"Implement Article 21 measures, report incidents (Article 23), approve measures via management body (Article 20)"
AGENT_MEMBER_STATE,Member State,EU Member States responsible for transposition enforcement and coordination,p. 29,Article_7|Article_8|Article_9|Article_10|Article_29,N/A,N/A,N/A,"Adopt national cybersecurity strategy, designate CSIRTs/competent authorities/single points of contact, submit entity lists"
AGENT_CSIRT,CSIRT (Computer Security Incident Response Team),National entity responsible for incident handling vulnerability coordination and operational cooperation,p. 38-40,Article_10|Article_12|Article_15|Article_23,N/A,N/A,N/A,"Receive incident notifications, provide assistance, coordinate vulnerability disclosure, participate in CSIRTs network"
AGENT_COMPETENT_AUTHORITY,Competent Authority,National authority responsible for cybersecurity supervision and enforcement,p. 37,Article_8|Article_31|Article_32|Article_33|Article_34,N/A,N/A,N/A,"Supervise entities, conduct audits/inspections, issue binding instructions, impose administrative fines"
AGENT_SINGLE_POINT_CONTACT,Single Point of Contact,National liaison for cross-border cooperation on cybersecurity,p. 37,Article_8|Article_23|Article_37,N/A,N/A,N/A,"Forward cross-border incident notifications, coordinate with other Member States' single points of contact"
AGENT_MANAGEMENT_BODY,Management Body,Entity's governing body responsible for cybersecurity governance (board of directors executives),p. 27,Article_20,N/A,N/A,N/A,"Approve cybersecurity risk-management measures, oversee implementation, participate in cybersecurity training"
AGENT_ENISA,ENISA (European Union Agency for Cybersecurity),Union agency providing cybersecurity expertise maintaining vulnerability database supporting Member States,p. 42,Article_12|Article_14|Article_15|Article_27,N/A,N/A,N/A,"Maintain European vulnerability database, provide guidelines/templates, support Cooperation Group/CSIRTs network, maintain entity registry"
AGENT_COOPERATION_GROUP,Cooperation Group,Strategic cooperation forum at Union level with Member State representatives,p. 45,Article_14,N/A,N/A,N/A,"Strategic cooperation, information exchange, policy guidelines, coordinated supply chain risk assessments, peer reviews"
AGENT_EU_CYCLONE,EU-CyCLONe (European Cyber Crisis Liaison Organisation Network),Network for large-scale cybersecurity incident/crisis coordination,p. 50,Article_16,N/A,N/A,N/A,"Coordinate response to large-scale incidents/crises, link technical and political levels, impact analysis"
