service_type_id,service_type_name,article_reference,page_reference,definitions_source,mandatory_for_entities,nist_cef_category,description,eu_regulation_applies
SRV_RISK_MGMT,Risk Management Service,Article_21,p. 55-57,NIS2 Directive Art. 3,TRUE,Govern,Services supporting entities in risk analysis risk assessment and development of cybersecurity risk-management policies,Regulation (EU) 2022/2555
SRV_INCIDENT_RESPONSE,Incident Response Service,Article_21|Article_23,p. 56-61,NIS2 Directive Art. 3,TRUE,Respond,Services supporting incident detection reporting response and recovery operations,Regulation (EU) 2022/2555
SRV_BUSINESS_CONTINUITY,Business Continuity Service,Article_21,p. 56,ISO 22301:2019,TRUE,Recover,Services supporting business continuity planning backup management disaster recovery,Regulation (EU) 2022/2555
SRV_SUPPLY_CHAIN_SECURITY,Supply Chain Security Service,Article_21|Article_18|Article_19,p. 56,ISO/IEC 27036,TRUE,Identify,Services for supplier assessment contract management vulnerability tracking in supply chain,Regulation (EU) 2022/2555
SRV_SECURE_DEVELOPMENT,Secure Development Service,Article_21,p. 56,ISO/IEC 27034,TRUE,Protect,Services for secure software development lifecycle vulnerability handling secure acquisition of ICT products/services,Regulation (EU) 2022/2555
SRV_COMPLIANCE_ASSESSMENT,Compliance Assessment Service,Article_21|Article_24,p. 55-57,NIS2 Directive Art. 3,TRUE,Identify,Services for assessing effectiveness of cybersecurity measures and NIS2 compliance status,Regulation (EU) 2022/2555
SRV_CYBER_HYGIENE,Cyber Hygiene Training Service,Article_21,p. 56,ISO/IEC 27002,TRUE,Protect,Services for cybersecurity awareness training on phishing/social engineering zero-trust implementation,Regulation (EU) 2022/2555
SRV_CRYPTOGRAPHY,Cryptography and Encryption Service,Article_21,p. 56,FIPS 140-3|ISO/IEC 27002,TRUE,Protect,Services for cryptographic key management end-to-end encryption encrypted communications,Regulation (EU) 2022/2555
SRV_ACCESS_CONTROL,Identity and Access Management (IAM) Service,Article_21,p. 56-57,ISO/IEC 27002,TRUE,Protect,Services for human resources security access control policies multi-factor authentication privilege management,Regulation (EU) 2022/2555
SRV_ASSET_MGMT,Asset Management Service,Article_21,p. 56-57,ISO/IEC 27002,TRUE,Identify,Services for inventory management classification lifecycle management of ICT assets,Regulation (EU) 2022/2555
SRV_VULNERABILITY_MGMT,Vulnerability Management Service,Article_12|Article_19,p. 43-44|53-54,ISO/IEC 29147|ISO/IEC 30111,FALSE,Identify,Services for vulnerability disclosure coordination patch management EUVD submission,Regulation (EU) 2022/2555
SRV_INCIDENT_NOTIFICATION,Incident Notification Service,Article_23,p. 58-61,NIS2 Directive Art. 23,TRUE,Respond,Services for incident reporting to CSIRT multi-stage notification (24h/72h/1m) cross-border coordination,Regulation (EU) 2022/2555
SRV_DETECTION_TOOLS,Attack Detection Service,Article_21|Article_32,p. 56|72,ISO/IEC 27035,TRUE (Essential),Detect,Services for continuous monitoring intrusion detection security event analysis SIEM,Regulation (EU) 2022/2555
SRV_PENETRATION_TESTING,Security Testing and Auditing Service,Article_21|Article_24,p. 55-57,ISO/IEC 27001,FALSE (Recommended),Identify,Services for penetration testing security assessments vulnerability scanning red team exercises,Regulation (EU) 2022/2555
SRV_FORENSICS,Digital Forensics Service,Article_23,p. 60,ISO/IEC 27037,FALSE (Post-Incident),Respond,Services for incident investigation evidence collection root cause analysis forensic analysis,Regulation (EU) 2022/2555
SRV_CRISIS_MGMT,Crisis Management Service,Article_9|Article_21,p. 38-39|56,ISO 22301,TRUE (for Member States),Recover,Services for large-scale incident/crisis coordination incident escalation procedures,Regulation (EU) 2022/2555
SRV_CROSS_BORDER_COORD,Cross-Border Coordination Service,Article_15|Article_23,p. 48-49|60,NIS2 Directive Art. 15,FALSE (CSIRT function),Respond,Services for inter-CSIRT cooperation multi-jurisdictional incident response,Regulation (EU) 2022/2555
