recital_id,recital_number,page_reference,description,related_articles,theme
Recital_(77),77,p. 16,Responsibility for ensuring the security of network and information system lies to a great extent with essential and important entities. A culture of risk management involving risk assessments and the implementation of cybersecurity risk-management measures appropriate to the risks faced should be promoted and developed.,Article_21,Risk Management Culture
Recital_(78),78,p. 16,Cybersecurity risk-management measures should take into account the degree of dependence on network/information systems and include measures to identify risks prevent/detect/respond to/recover from incidents and mitigate impact. Security includes stored transmitted processed data.,Article_21,Risk Management Scope
Recital_(79),79,p. 16-17,Cybersecurity risk-management measures should be based on an all-hazards approach protecting systems from theft fire flood power failures unauthorized access malicious acts natural phenomena. Measures should address physical/environmental security per ISO/IEC 27000 standards.,Article_21,All-Hazards Approach
Recital_(80),80,p. 17,For demonstrating compliance Member States should promote use of European/international standards by entities or require certified ICT products/services/processes in absence of European cybersecurity certification schemes (Regulation 2019/881).,Article_21|Article_24,Certification and Standards
Recital_(81),81,p. 17,Cybersecurity risk-management measures should be proportionate to risks taking into account state-of-the-art relevant standards and implementation cost to avoid disproportionate financial/administrative burden.,Article_21,Proportionality
Recital_(82),82,p. 17,Cybersecurity risk-management measures should be proportionate to entity's exposure and societal/economic impact of incident. Account should be taken of criticality risks size likelihood and severity of incidents.,Article_21,Risk-Based Proportionality
Recital_(85),85,p. 18,Addressing supply chain risks is important given prevalence of incidents exploiting third-party vulnerabilities. Entities should assess quality/resilience of products/services supplier cybersecurity practices secure development procedures.,Article_21,Supply Chain Security
Recital_(89),89,p. 18,Entities should adopt basic cyber hygiene: zero-trust software updates device configuration network segmentation identity/access management user awareness training on phishing/social engineering. Evaluate capabilities and pursue AI/ML technologies.,Article_21,Cyber Hygiene
Recital_(101),101,p. 20,Multi-stage incident reporting balances swift reporting (mitigation assistance) with in-depth reporting (lessons learned cyber resilience). Includes incidents causing severe operational disruption financial loss or material/non-material damage to others.,Article_23,Incident Reporting Rationale
Recital_(102),102,p. 20-21,Entities must submit early warning ≤24h incident notification ≤72h (with initial assessment severity impact indicators of compromise) and final report ≤1 month after notification. Early warning allows assistance indicates unlawful/malicious acts cross-border impact.,Article_23,Incident Reporting Timeline
Recital_(122),122,p. 21-22,Directive establishes differentiated supervisory regimes: essential entities subject to comprehensive ex-ante+ex-post regime important entities subject to light ex-post only regime triggered by evidence of non-compliance. Ensures fair balance.,Article_32|Article_33,Supervisory Regime Differentiation
Recital_(127),127,p. 22,Enforcement measures including fines should be proportionate. Factors: nature/gravity/duration of infringement damage caused intent/negligence preventive/mitigation actions responsibility previous infringements cooperation aggravating/mitigating factors.,Article_34,Enforcement Proportionality
Recital_(130),130,p. 23,Administrative fines: where entity is undertaking apply Articles 101/102 TFEU definition. Where not undertaking account for general income level economic situation. Member States determine if/how public authorities subject to fines.,Article_34,Administrative Fines Framework
Recital_(137),137,p. 24,Management bodies of entities must approve cybersecurity risk-management measures and oversee implementation to ensure high level of responsibility at entity level.,Article_20,Corporate Responsibility
