rule_id,rule_citation,rule_name,rule_requirement,effective_date,regulatory_authority,parent_section_id,parent_rule_part_id,regional_standard_regulation_id
RULE-1-01,4 CCR 904-3 Rule 1.01,Authority,Establishes the statutory authority for Part 1 of the CPA Rules under C.R.S. §§ 6-1-108(1) and 6-1-1313,2023-07-01,Colorado Attorney General,SECTION-6-1-1313,RULE-PART-1,CPA 1.0
RULE-1-03,4 CCR 904-3 Rule 1.03,Severability,If any provision of these Colorado Privacy Act Rules (4 CCR 904-3) is found invalid the remaining provisions remain in full force and effect,2023-07-01,Colorado Attorney General,SECTION-6-1-1313,RULE-PART-1,CPA 1.0
RULE-2-01,4 CCR 904-3 Rule 2.01,Authority and Purpose,Establishes authority (C.R.S. §§ 6-1-108(1) 6-1-1303 6-1-1313) and purpose to define undefined terms used throughout the CPA and these Rules; defined terms are capitalized,2023-07-01,Colorado Attorney General,SECTION-6-1-1303,RULE-PART-2,CPA 1.0
RULE-2-02,4 CCR 904-3 Rule 2.02,Defined Terms,Defines terms in addition to C.R.S. § 6-1-1303 including Authorized Agent; Automated Processing; Biometric Data; Biometric Identifiers; Bona Fide Loyalty Program; Bona Fide Loyalty Program Benefit; Data Broker; Data Right; Disability; Human Involved Automated Processing; Human Reviewed Automated Processing; Intimate Image; Opt-Out Purpose; Publicly Available Information; Revealing; Sensitive Data Inference; Solely Automated Processing; Universal Opt-Out Mechanism,2023-07-01,Colorado Attorney General,SECTION-6-1-1303,RULE-PART-2,CPA 1.0
RULE-3-01,4 CCR 904-3 Rule 3.01,Authority and Purpose,Establishes authority (C.R.S. §§ 6-1-108(1) and 6-1-1313) and purpose to ensure disclosures notifications and other communications to Consumers are clear accessible and understandable,2023-07-01,Colorado Attorney General,SECTION-6-1-1313,RULE-PART-3,CPA 1.0
RULE-3-02,4 CCR 904-3 Rule 3.02,Requirements for Disclosures Notifications and Other Communications to Consumers,Disclosures must be understandable and accessible to target audiences; accessible to Consumers with Disabilities (e.g. WCAG 2.1); available in relevant languages; provided through a regularly used interface; readable on all devices,2023-07-01,Colorado Attorney General,SECTION-6-1-1313,RULE-PART-3,CPA 1.0
RULE-4-01,4 CCR 904-3 Rule 4.01,Authority and Purpose,Establishes authority (C.R.S. §§ 6-1-108(1) 6-1-1306 6-1-1313) and purpose to clarify the scope of Consumer Personal Data rights and processes to exercise them,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-4,CPA 1.0
RULE-4-02,4 CCR 904-3 Rule 4.02,Submitting Requests to Exercise Personal Data Rights,Governs the methods and requirements Controllers must provide for Consumers to submit requests to exercise their Data Rights,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-4,CPA 1.0
RULE-4-03,4 CCR 904-3 Rule 4.03,Right to Opt Out,Governs the Consumer right to opt out of Targeted Advertising Sale of Personal Data and Profiling and how Controllers must facilitate it,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-4,CPA 1.0
RULE-4-04,4 CCR 904-3 Rule 4.04,Right of Access,Governs the Consumer right to confirm processing and access their Personal Data,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-4,CPA 1.0
RULE-4-05,4 CCR 904-3 Rule 4.05,Right to Correction,Governs the Consumer right to correct inaccuracies in their Personal Data,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-4,CPA 1.0
RULE-4-06,4 CCR 904-3 Rule 4.06,Right to Deletion,Governs the Consumer right to delete Personal Data and related retention exceptions,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-4,CPA 1.0
RULE-4-07,4 CCR 904-3 Rule 4.07,Right to Data Portability,Governs the Consumer right to obtain Personal Data in a portable and readily usable format,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-4,CPA 1.0
RULE-4-08,4 CCR 904-3 Rule 4.08,Authentication,Governs how Controllers must authenticate Consumers and Authorized Agents submitting Data Rights requests,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-4,CPA 1.0
RULE-4-09,4 CCR 904-3 Rule 4.09,Responding to Consumer Requests,Governs Controller obligations and timelines for responding to Consumer Data Rights requests,2023-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-4,CPA 1.0
RULE-5-01,4 CCR 904-3 Rule 5.01,Authority and Purpose,Establishes authority (C.R.S. §§ 6-1-108(1) 6-1-1306 6-1-1313) and purpose for Universal Opt-Out Mechanism rules,2024-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-5,CPA 1.0
RULE-5-02,4 CCR 904-3 Rule 5.02,Rights Exercised,Specifies the rights (opt out of Targeted Advertising and Sale) that a Universal Opt-Out Mechanism exercises,2024-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-5,CPA 1.0
RULE-5-03,4 CCR 904-3 Rule 5.03,Notice and Choice,Requires providers of Universal Opt-Out Mechanisms to give Consumers notice and choice regarding the mechanism,2024-07-01,Colorado Attorney General,SECTION-6-1-1306,RULE-PART-5,CPA 1.0
