section_id,section_number,section_name,section_type,legal_citation,summary,key_provisions,parent_part_id,regional_standard_regulation_id
SECTION-6-1-1301,6-1-1301,Short Title,Administrative,C.R.S. § 6-1-1301,Establishes short title as Colorado Privacy Act,Short title designation,PART-13,CPA 1.0
SECTION-6-1-1302,6-1-1302,Legislative Declaration,Policy,C.R.S. § 6-1-1302,Legislative intent and policy objectives,Consumer privacy protection; Business certainty; Harmonization with other state laws,PART-13,CPA 1.0
SECTION-6-1-1303,6-1-1303,Definitions,Definitional,C.R.S. § 6-1-1303,Defines key terms including PersonalData SensitiveData Sale Controller Processor Consumer,27 definitions including: Consent; Consumer; Controller; DeidentifiedData; PersonalData; Processing; Processor; Profiling; Sale; SensitiveData; TargetedAdvertising; ThirdParty; UniversalOptOutMechanism,PART-13,CPA 1.0
SECTION-6-1-1304,6-1-1304,Applicability,Applicability,C.R.S. § 6-1-1304,Defines thresholds: 100000+ consumers OR 25000+ with revenue from sale,100000+ consumers threshold; 25000+ consumers + revenue threshold; Exclusions for small businesses; HIPAA GLBA FCRA exclusions,PART-13,CPA 1.0
SECTION-6-1-1305,6-1-1305,Duties of Controllers and Processors,Duties,C.R.S. § 6-1-1305,Controller and processor obligations including data processing agreements,Controller duties: security; data minimization; purpose limitation; Processor duties: assist controller; data processing agreement requirements,PART-13,CPA 1.0
SECTION-6-1-1306,6-1-1306,Consumer Personal Data Rights,Rights,C.R.S. § 6-1-1306,Establishes 5 consumer rights: Access Correct Delete Portability OptOut,Right to access; Right to correct; Right to delete; Right to portability; Right to opt out of: targeted advertising sale profiling; 45-day response deadline; Appeal process; AG notification if denied,PART-13,CPA 1.0
SECTION-6-1-1307,6-1-1307,Activities Not Covered,Exemptions,C.R.S. § 6-1-1307,Exemptions and exclusions from CPA coverage,Processing for internal research; De-identified data processing; Certain employment contexts; Federal law compliance,PART-13,CPA 1.0
SECTION-6-1-1308,6-1-1308,Duties Regarding Sensitive Personal Data,Duties,C.R.S. § 6-1-1308,Opt-in consent requirement; minimization; CRITICAL: § 6-1-1308(4) secondary use prohibition,Opt-in consent for sensitive data; Data minimization for sensitive data; Purpose limitation for sensitive data; § 6-1-1308(4): No secondary use without new consent,PART-13,CPA 1.0
SECTION-6-1-1309,6-1-1309,Data Protection Assessments,Requirements,C.R.S. § 6-1-1309,DPA requirements for high-risk processing; AG disclosure obligation within 30 days,DPA required for: targeted advertising; sale; profiling with legal effects; sensitive data processing; DPA must weigh benefits vs risks; Must disclose to AG within 30 days of request,PART-13,CPA 1.0
SECTION-6-1-1310,6-1-1310,Deletion of Personal Data,Procedures,C.R.S. § 6-1-1310,Deletion procedures and timelines,Deletion methods; Retention exceptions; Third-party notification,PART-13,CPA 1.0
SECTION-6-1-1311,6-1-1311,Enforcement,Enforcement,C.R.S. § 6-1-1311,Attorney General enforcement authority; civil penalties; cure period sunset,Exclusive enforcement by AG and District Attorneys; Civil penalties up to $20000/violation; Discretionary cure period (mandatory cure period ended 2025-01-01); Injunctive relief; No private right of action,PART-13,CPA 1.0
SECTION-6-1-1312,6-1-1312,Rulemaking,Administrative,C.R.S. § 6-1-1312,Authorizes Attorney General to issue CPA Rules,AG authority to promulgate rules implementing CPA; CPA Rules (4 CCR 904-3) issued pursuant to this section,PART-13,CPA 1.0
SECTION-6-1-1313,6-1-1313,Exclusions,Exemptions,C.R.S. § 6-1-1313,Federal law preemption; HIPAA GLBA FCRA exclusions,HIPAA covered entities/business associates; GLBA institutions; FCRA consumer reporting agencies; Non-profit organizations; Higher education institutions (in certain contexts),PART-13,CPA 1.0
