definition_id,term,definition_text,legal_citation,cross_references,defined_by_section_id,regional_standard_regulation_id
DEF-PERSONAL-DATA,PersonalData,Information that is linked or reasonably linkable to an identified or identifiable individual,§ 6-1-1303(19),Excludes de-identified data per § 6-1-1303(11); Excludes publicly available information; Excludes employee/B2B data in certain contexts,SECTION-6-1-1303,CPA 1.0
DEF-SENSITIVE-DATA,SensitiveData,Personal data revealing: racial or ethnic origin; religious beliefs; mental or physical health condition or diagnosis; sex life or sexual orientation; citizenship or citizenship status; genetic or biometric data processed for purpose of uniquely identifying individual; or personal data from known child,§ 6-1-1303(24),Requires opt-in consent per § 6-1-1308(1); Subject to data minimization per § 6-1-1308(3); Subject to secondary use prohibition per § 6-1-1308(4),SECTION-6-1-1303,CPA 1.0
DEF-SALE,Sale,Exchange of personal data for monetary consideration OR OTHER VALUABLE CONSIDERATION by controller to third party,§ 6-1-1303(22),Broader than VCDPA (includes non-monetary value like CCPA); Excludes certain disclosures to processors or for specific purposes; Subject to opt-out right per § 6-1-1306(1)(d)(II),SECTION-6-1-1303,CPA 1.0
DEF-CONTROLLER,Controller,Person that alone or jointly with others determines the purposes and means of processing personal data,§ 6-1-1303(4),Must meet applicability thresholds per § 6-1-1304; Owes duties per § 6-1-1305 and § 6-1-1308,SECTION-6-1-1303,CPA 1.0
DEF-PROCESSOR,Processor,Person that processes personal data on behalf of controller,§ 6-1-1303(20),Bound by data processing agreement per § 6-1-1305(2); Must assist controller with consumer rights requests; Must assist with DPAs,SECTION-6-1-1303,CPA 1.0
DEF-CONSUMER,Consumer,Individual who is a Colorado resident acting only in an individual or household context,§ 6-1-1303(3),Excludes individuals acting in commercial or employment context; Has rights under § 6-1-1306,SECTION-6-1-1303,CPA 1.0
DEF-PROCESSING,Processing,Any operation or set of operations performed on personal data including: collection; use; storage; disclosure; analysis; deletion; modification; sharing,§ 6-1-1303(21),Broad definition covers all data activities; Subject to controller duties,SECTION-6-1-1303,CPA 1.0
DEF-DEIDENTIFIED,DeidentifiedData,Data that cannot reasonably be used to infer information about or otherwise be linked to an identified or identifiable individual or device,§ 6-1-1303(11),Exempt from CPA if technical and organizational measures applied; Controller must commit to not re-identify; Cannot combine with other information to identify,SECTION-6-1-1303,CPA 1.0
DEF-THIRD-PARTY,ThirdParty,Person other than: consumer; controller; processor; or affiliate of controller or processor,§ 6-1-1303(25),Recipients in data sales or sharing; Controller liable for third-party misuse,SECTION-6-1-1303,CPA 1.0
DEF-TARGETED-ADS,TargetedAdvertising,Displaying advertisements to consumer based on personal data obtained from consumer's activity across non-affiliated websites applications or online services,§ 6-1-1303(26),Subject to opt-out right per § 6-1-1306(1)(d)(I); Requires DPA per § 6-1-1309,SECTION-6-1-1303,CPA 1.0
DEF-PROFILING,Profiling,Automated processing of personal data to evaluate analyze or predict personal aspects concerning economic situation health preferences interests reliability behavior location or movements,§ 6-1-1303(23),Subject to opt-out right if produces legal or similarly significant effects per § 6-1-1306(1)(d)(III); Requires DPA per § 6-1-1309,SECTION-6-1-1303,CPA 1.0
DEF-CONSENT,Consent,Clear affirmative act signifying freely given specific informed and unambiguous agreement to process personal data,§ 6-1-1303(2),Required for sensitive data per § 6-1-1308(1); Must meet Rule 7.03 standards; Cannot use dark patterns; Must be revocable,SECTION-6-1-1303,CPA 1.0
DEF-UOOM,UniversalOptOutMechanism,Mechanism that communicates or signals consumer's choice to opt out of processing personal data for purposes of targeted advertising or sale,Rule 5.01 (referenced in § 6-1-1303),Controllers must honor by 2024-07-01 per Rule 5.01; Examples: Global Privacy Control (GPC); Must be single request; No account required,SECTION-6-1-1303,CPA 1.0
