node_id,category_name,category_description,legal_citation,consent_required,parental_consent_age_threshold,specific_consent_needed,classification_level,processing_restrictions,security_requirements,regional_standard_regulation_id
SENSITIVE-DATA-001,Personal Data Revealing Racial or Ethnic Origin,Personal data that reveals or is used to infer a consumer's racial or ethnic origin,§ 6-1-1303(24)(a)(i),True,13,True,Highly Sensitive,Requires opt-in consent; Purpose limitation strictly enforced; Cannot be used for discriminatory purposes,"Encryption at rest and in transit; Access controls with audit logging; Role-based access; Data minimization required",CPA 1.0
SENSITIVE-DATA-002,Personal Data Revealing Religious Beliefs,Personal data that reveals or is used to infer a consumer's religious beliefs or affiliations,§ 6-1-1303(24)(a)(ii),True,13,True,Highly Sensitive,Requires opt-in consent; Cannot be used for discriminatory purposes or targeting; Purpose limitation strictly enforced,"Encryption at rest and in transit; Access controls with audit logging; Need-to-know basis access only",CPA 1.0
SENSITIVE-DATA-003,Personal Data Revealing Mental or Physical Health Diagnosis,Personal data revealing a consumer's mental or physical health diagnosis; treatment; or condition including pregnancy,§ 6-1-1303(24)(a)(iii),True,13,True,Highly Sensitive,Requires opt-in consent; HIPAA alignment recommended; Purpose limitation strictly enforced; Cannot be disclosed without authorization,"Encryption at rest and in transit; Access controls; Audit logging; HIPAA-compliant security measures where applicable",CPA 1.0
SENSITIVE-DATA-004,Personal Data Revealing Sex Life or Sexual Orientation,Personal data that reveals or is used to infer a consumer's sex life or sexual orientation,§ 6-1-1303(24)(a)(iv),True,13,True,Highly Sensitive,Requires opt-in consent; Cannot be used for discriminatory purposes; Enhanced protection required; Purpose limitation strictly enforced,"Encryption with enhanced protection; Restricted access with audit logging; Segregated storage recommended",CPA 1.0
SENSITIVE-DATA-005,Personal Data Revealing Citizenship or Immigration Status,Personal data that reveals or is used to infer a consumer's citizenship status or immigration status,§ 6-1-1303(24)(a)(v),True,13,True,Highly Sensitive,Requires opt-in consent; Cannot be disclosed to immigration authorities without legal process; Enhanced protection required,"Encryption at rest and in transit; Restricted access; Audit logging; Segregated storage; Legal review required for disclosures",CPA 1.0
SENSITIVE-DATA-006,Genetic Data,Genetic data processed for the purpose of uniquely identifying an individual including DNA sequencing; genetic heritage information; hereditary disease markers,§ 6-1-1303(24)(a)(vi),True,13,True,Highly Sensitive,Requires opt-in consent; Cannot be disclosed without explicit authorization; GINA compliance required; State genetic privacy law alignment required; Enhanced purpose limitation,"Biometric-grade encryption; Restricted access with multi-factor authentication; Segregated storage; Tamper-evident audit logs; Annual security assessments",CPA 1.0
SENSITIVE-DATA-007,Biometric Data for Unique Identification,Biometric data processed for purpose of uniquely identifying a consumer including fingerprints; facial recognition templates; iris scans; voice prints; gait analysis,§ 6-1-1303(24)(b),True,13,True,Highly Sensitive,Requires opt-in consent; Must be deleted upon consumer request or when purpose ends; Cannot be sold; Enhanced security required; Illinois BIPA considerations,"Biometric-grade encryption; Secure enclave storage; Multi-factor authentication; Role-based access; Tamper-evident audit logs",CPA 1.0
SENSITIVE-DATA-008,Precise Geolocation Data,Precise geolocation data derived from device tracking within 1750 feet radius revealing consumer's physical location or movements,§ 6-1-1303(24)(c),True,13,True,Sensitive,Requires opt-in consent; Must clearly disclose tracking purposes; Can be used for navigation with consent; Enhanced deletion rights; Purpose limitation,"Encryption at rest and in transit; Access controls; Audit logging; Anonymization when aggregated",CPA 1.0
SENSITIVE-DATA-009,Child Personal Data,Personal data processed with actual knowledge that the data are from a child under 13 years of age,§ 6-1-1303(24)(d),True,13,True,Highly Sensitive,Requires verifiable parental consent; COPPA compliance required; Enhanced deletion rights; Cannot be used for targeted advertising; Data minimization strictly required; Purpose limitation,"Enhanced encryption; Restricted access; Parental oversight mechanisms; Audit logging; Age verification safeguards",CPA 1.0
SENSITIVE-DATA-010,Social Security Numbers and Government IDs,Social Security numbers; driver's license numbers; state identification card numbers; passport numbers; or other government-issued identification numbers,§ 6-1-1303(24)(e),True,13,True,Highly Sensitive,Requires opt-in consent; Strict purpose limitation (identity verification; fraud prevention; legal compliance only); Enhanced retention limits; Deletion required when purpose ends,"Encryption at rest and in transit; Tokenization recommended; Multi-factor authentication; Segregated storage; Audit logging; PCI-DSS alignment where applicable",CPA 1.0
