phase_id,name,description,sequence_order,typical_duration_weeks,required_inputs,expected_deliverables,is_mandatory,process_owner
PH-01,Registration (Step 1),Step 1 of the 3-step TISAX process; ENX Association gathers information about the company and what needs to be part of the assessment via the online registration process on the ENX portal; it is subject to a fee and is the prerequisite for all subsequent steps,1,,Company contact and billing information; acceptance of the TISAX Participation General Terms and Conditions; assessment scope (scope type; locations; contacts); assessment objective(s),Participant ID; Scope ID; registration confirmation email; TISAX Scope Excerpt,true,ENX Association
PH-02,Assessment preparation,Sub-step (a) of Step 2; the participant prepares the assessment based on the ISA criteria catalogues and conducts the ISA self-assessment; the maturity level is rated per control question,2,,ISA document downloaded from the ENX portal,Completed ISA self-assessment (implementation description; reference documentation; maturity level per control question),true,TISAX participant
PH-03,Audit provider selection,Sub-step (b) of Step 2; the participant requests and evaluates offers from the TISAX audit providers contracted by ENX Association and selects one; only possible once an assessment scope is registered and only with audit providers free of conflicts of interest,3,,Registered assessment scope; TISAX Scope Excerpt; audit provider contact information from the registration confirmation email,Contract with a TISAX audit provider (offers typically include the initial assessment and the corrective action plan assessment),true,TISAX participant
PH-04,Kick-off meeting,Start of the TISAX assessment process; the audit provider and the participant plan the details of the assessment process (scope; conflicts of interest; responsibilities; communication; timing; participants; complaints channel); usually held as a conference call,4,,Registered assessment scope; selected audit provider,Agreed assessment plan and delivery deadlines,true,TISAX audit provider
PH-05,Assessment phase 1 - check of the self-assessment,The audit provider checks the participant's self-assessment and requests related documentation ahead of the assessment; the period between the kick-off meeting and the delivery of the self-assessment is typically one to three months,5,,Completed ISA self-assessment; referenced documentation,Prepared assessment procedure plan,true,TISAX audit provider
PH-06,Initial assessment,First TISAX assessment and formal start of the TISAX assessment process; consists of a formal opening meeting; the assessment procedure (methods selected according to the assessment level) and a formal closing meeting; its closing meeting starts the three-year maximum label validity period and the nine-month period to resolve non-conformities,6,,Self-assessment; requested documentation; assessment plan,Initial assessment report; overall assessment result (conform or major non-conform); findings,true,TISAX audit provider
PH-07,Corrective action plan preparation,Where findings exist the participant works out a corrective action plan stating the finding; the root cause; the corrective actions; an implementation date per corrective action; compensating measures for non-conformities creating critical risks; and justification/evidence for implementation periods longer than three/six months (never longer than nine months),7,,Initial assessment report and findings,Corrective action plan,false,TISAX participant
PH-08,Corrective action plan assessment,Optional assessment in which the audit provider verifies that the corrective action plan fulfils the TISAX requirements (appropriate measures; critical risks mitigated by compensating measures; appropriate implementation periods); may be combined with the closing meeting of the initial assessment,8,,Corrective action plan,Corrective action plan assessment report; an overall assessment result of minor non-conform enables temporary TISAX labels,false,TISAX audit provider
PH-09,Follow-up assessment,Assessment of whether all previously identified non-conformities are resolved; can be repeated as often as needed and must be conducted within nine months after the conclusion of the initial assessment,9,,Implemented corrective actions,Follow-up assessment report; an overall assessment result of conform leads to permanent TISAX labels,false,TISAX audit provider
PH-10,Exchange (Step 3),Step 3 of the 3-step TISAX process; the participant publishes the assessment result on the ENX exchange platform and/or shares it with particular TISAX participants at a chosen sharing level; publication and sharing permissions cannot be revoked,10,,Assessment result submitted by the audit provider to the exchange platform (usually 5-10 business days after the TISAX assessment report is issued); paid fee; assessment scope status Active; partner's Participant ID,Publication and/or sharing permissions on the exchange platform,true,TISAX participant
