source_id,target_id,rel_type,catalogs,source_document
dom_ai_emerging_technology_security,fd_acquisition_supply_chain,HAS_FUNCTIONAL_DOMAIN,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
dom_ai_emerging_technology_security,fd_ai_governance_safety,HAS_FUNCTIONAL_DOMAIN,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
dom_ai_emerging_technology_security,fd_emerging_tech_defense,HAS_FUNCTIONAL_DOMAIN,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
dom_ai_emerging_technology_security,fd_secure_software_development_ssdlc,HAS_FUNCTIONAL_DOMAIN,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
dom_application_product_security,fd_application_runtime_defense,HAS_FUNCTIONAL_DOMAIN,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
dom_application_product_security,fd_devsecops_automation,HAS_FUNCTIONAL_DOMAIN,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
dom_application_product_security,fd_secure_software_development_ssdlc,HAS_FUNCTIONAL_DOMAIN,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
dom_cloud_platform_security,fd_cloud_governance_strategy,HAS_FUNCTIONAL_DOMAIN,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
dom_cloud_platform_security,fd_cloud_infrastructure_network_security,HAS_FUNCTIONAL_DOMAIN,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
dom_cloud_platform_security,fd_cloud_native_application_protection_cnapp,HAS_FUNCTIONAL_DOMAIN,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
dom_cloud_platform_security,fd_cloud_security_posture_management_cspm,HAS_FUNCTIONAL_DOMAIN,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
dom_cloud_platform_security,fd_cloud_workload_protection_cwpp,HAS_FUNCTIONAL_DOMAIN,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
dom_critical_infrastructure_protection,fd_bio_economy_security,HAS_FUNCTIONAL_DOMAIN,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
dom_critical_infrastructure_protection,fd_critical_infrastructure_protection,HAS_FUNCTIONAL_DOMAIN,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
dom_cyber_defense_resilience,fd_business_continuity_recovery,HAS_FUNCTIONAL_DOMAIN,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
dom_cyber_defense_resilience,fd_incident_management_forensics,HAS_FUNCTIONAL_DOMAIN,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
