risk_id,title,description,functional_domain,domain,catalogs,source_document
risk_5g_network_slice_isolation_failure,5G network slice isolation failure,"The inability to isolate network slices and tenants, enabling cross-slice attacks.",Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_account_fraud_and_identity_abuse,Account fraud and identity abuse,"The inability to detect and prevent account fraud (ATO, synthetic identity), causing financial losses.",Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_account_takeover_via_social_engineering,Account takeover via social engineering,"The inability to detect and resist impersonation, helpdesk bypass, or SIM-swap-driven takeover.",Access and Interaction Management,Identity and Access Management,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_adversarial_examples_and_evasion,Adversarial examples and evasion,The inability to detect adversarial inputs that cause incorrect or unsafe predictions.,Emerging Tech Defense,AI & Emerging Technology Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_agent_goal_hijack_loop,Agent Goal Hijack & Loop,"The inability to prevent attackers from manipulating an autonomous agent's goal, leading to infinite loops, resource exhaustion, or the agent pursuing malicious objectives.1",Emerging Tech Defense,AI & Emerging Technology Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_ai_regulatory_noncompliance,AI regulatory noncompliance,"The inability to meet AI governance obligations (risk classification, documentation, transparency, human oversight) where applicable.",AI Governance & Safety,AI & Emerging Technology Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_authentication_and_session_management_flaws,Authentication and session management flaws,"The inability to secure session tokens and login flows, enabling hijacking and credential abuse.",Application Runtime Defense,Application & Product Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_aviation_mro_ecosystem_compromise,Aviation/MRO ecosystem compromise,"The inability to secure maintenance, repair, and operations systems and supply chain, leading to safety and compliance risk.",Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_backup_integrity_failure,Backup integrity failure,"The inability to ensure backups are complete, immutable, and recoverable (including periodic restore testing).",Business Continuity & Recovery,Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_bias_discrimination_and_fairness_failures,"Bias, discrimination, and fairness failures","The inability to evaluate and mitigate biased outcomes, causing legal, ethical, and reputational harm.",AI Governance & Safety,AI & Emerging Technology Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_blackstart_recovery_dependency_failure,Blackstart/recovery dependency failure,"The inability to secure and plan blackstart/recovery dependencies, prolonging outages.",Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_broken_access_control_in_applications,Broken access control in applications,"The inability to implement authorization checks, enabling IDOR and privilege abuse.",Application Runtime Defense,Application & Product Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_broken_access_governance_for_saas_cloud,Broken access governance for SaaS/cloud,"The inability to govern permissions in SaaS and cloud control planes (e.g., admin roles, delegated admin, cross-tenant trust).",Privileged Access Management (PAM),Identity and Access Management,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_business_interruption,Business interruption,"Increased latency, or a service outage, that negatively impacts business operations.",Business Continuity & Recovery,Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_cancelled_contract,Cancelled contract,"A cancelled contract with a client or other entity for cause (e.g., failure to fulfill obligations for secure practices).",Enterprise Risk Management (ERM),Information Security Governance,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_certificate_lifecycle_failures,Certificate lifecycle failures,"The inability to manage certificates (expiry, issuance, trust), causing outages or enabling MITM.",Cryptography & Key Management,Data Privacy & Protection,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_cloud_audit_log_gaps,Cloud audit log gaps,The inability to enable and centralize cloud provider and SaaS audit logs (control plane and data plane).,Security Operations (SecOps),Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_cloud_control_plane_compromise,Cloud control plane compromise,"The inability to protect admin accounts and APIs, enabling attackers to alter resources and security controls.",Cloud Security Posture Management (CSPM),Cloud & Platform Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_cloud_native_data_protection_gaps,Cloud-native data protection gaps,"The inability to apply encryption, DLP, and access control consistently across cloud data services.",Cloud Security Posture Management (CSPM),Cloud & Platform Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_cloud_provider_outage_resilience_gaps,Cloud provider outage resilience gaps,"The inability to architect multi-AZ/region resilience and failover, leading to prolonged outages.",Cloud Security Posture Management (CSPM),Cloud & Platform Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_compensating_controls_not_implemented,Compensating controls not implemented,"The inability to apply compensating controls when patching is not feasible, leaving exposures unmanaged.",Vulnerability Management,Cyber Defense & Resilience,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_compromise_of_engineering_workstations,Compromise of engineering workstations,"The inability to protect engineering workstations and tooling, enabling logic changes and unsafe configurations.",Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_contractor_ecosystem_compromise,Contractor ecosystem compromise,The inability to secure contractor access and tooling across geographically distributed operations.,Critical Infrastructure Protection,Infrastructure & Network Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_counterfeit_or_tampered_hardware,Counterfeit or tampered hardware,"The inability to validate hardware authenticity and secure logistics, leading to embedded compromise.",Acquisition & Supply Chain,AI & Emerging Technology Security,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
risk_credential_compromise_and_reuse,Credential compromise and reuse,"The inability to prevent password reuse, leaked-credential login, and credential stuffing attacks.","Identity Assurance, Credentials, and Decentralized Identity",Identity and Access Management,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
