functionaldomain_id,name,domain_count,risk_count,catalogs,source_document
fd_access_and_interaction_management,Access and Interaction Management,1,5,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_acquisition_supply_chain,Acquisition & Supply Chain,2,7,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_ai_governance_safety,AI Governance & Safety,1,7,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_application_runtime_defense,Application Runtime Defense,1,12,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
fd_asset_inventory_management,Asset & Inventory Management,1,10,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_bio_economy_security,Bio-Economy Security,1,1,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
fd_business_continuity_recovery,Business Continuity & Recovery,1,12,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_cloud_governance_strategy,Cloud Governance & Strategy,1,3,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_cloud_infrastructure_network_security,Cloud Infrastructure & Network Security,1,1,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_cloud_native_application_protection_cnapp,Cloud-Native Application Protection (CNAPP),1,1,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_cloud_security_posture_management_cspm,Cloud Security Posture Management (CSPM),1,6,risk,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json
fd_cloud_workload_protection_cwpp,Cloud Workload Protection (CWPP),1,1,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_critical_infrastructure_protection,Critical Infrastructure Protection,3,44,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_cryptography_key_management,Cryptography & Key Management,1,12,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_data_governance_lifecycle,Data Governance & Lifecycle,1,7,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_data_loss_prevention_dlp,Data Loss Prevention (DLP),1,3,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_devsecops_automation,DevSecOps & Automation,1,1,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_emerging_tech_defense,Emerging Tech Defense,1,8,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_endpoint_security_hardening,Endpoint Security & Hardening,1,10,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_enterprise_risk_management_erm,Enterprise Risk Management (ERM),1,17,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_entitlement_and_authorization_governance,Entitlement and Authorization Governance,1,7,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_identity_and_entity_lifecycle_management,Identity and Entity Lifecycle Management,1,2,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
fd_identity_assurance_credentials_and_decentralized_identity,"Identity Assurance, Credentials, and Decentralized Identity",1,3,risk;control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/risk-catalog.json;DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
