obligation_id,paragraph_id,article_id,duty_bearer,subject,text,source_document
OBL-27-1,ART27-P1,ART27,Those conducting data handling activities,Establish and perfect a data security management system across the entire workflow; conduct data security education and training; adopt technical and other necessary measures,"Those conducting data handling activities shall, in accordance with laws and regulations, establish and perfect a data security management system across the entire workflow, organize and conduct data security education and training, and adopt the corresponding technical measures and other necessary measures to ensure data security. Those conducting data handling activities by using the internet or other information networks shall, based on the graded cybersecurity protection system, perform the aforesaid data security protection obligations.",KB 2/China/Data Security Law of China.pdf
OBL-27-2,ART27-P2,ART27,Those handling important data,Clearly specify responsible personnel and management bodies for data security,Those handling important data shall clearly specify responsible personnel and management bodies for data security and fully implement data security protection responsibilities.,KB 2/China/Data Security Law of China.pdf
OBL-28-1,ART28-P1,ART28,Any data handling activity and research and development of new data technologies,Conform to social morals and ethics and benefit economic and social development,"Any data handling activity as well as the research and development of new data technologies shall benefit the advancement of economic and social development, enhance the people's welfare, and conform to social morals and ethics.",KB 2/China/Data Security Law of China.pdf
OBL-29-1,ART29-P1,ART29,Those conducting data handling activities,"Risk monitoring, remedial measures, incident disposal, user notification and reporting to the competent department","Those conducting data handling activities shall strengthen risk monitoring, and where they discover risks such as data security flaws and vulnerabilities, immediately adopt remedial measures; when data security incidents occur, they shall immediately take disposal measures, notify the users as required and report the matter to the relevant competent department.",KB 2/China/Data Security Law of China.pdf
OBL-30-1,ART30-P1,ART30,Those handling important data,Periodic risk assessment and submission of a risk assessment report,"Those handling important data shall, in accordance with relevant provisions, periodically conduct risk assessments for their data handling activities, and submit a risk assessment report to the relevant competent department.",KB 2/China/Data Security Law of China.pdf
OBL-30-2,ART30-P2,ART30,Those handling important data,Required contents of the risk assessment report,"The risk assessment report shall include the categories and quantities of important data handled by the said organization, how data are handled, the data security risks faced and their countermeasures.",KB 2/China/Data Security Law of China.pdf
OBL-31-1,ART31-P1,ART31,Operators of critical information infrastructure and other data handlers,Security administration of cross-border transfer of important data,The security administration of the cross-border transfer of important data collected and generated by operators of critical information infrastructure during their operation in China shall be subject to the provisions of the Cybersecurity Law of the People's Republic of China; the administrative measures for the cross-border transfer of important data collected and generated by other data handlers during their operation in the People's Republic of China shall be formulated by the national cyberspace administration authority in collaboration with relevant departments of the State Council.,KB 2/China/Data Security Law of China.pdf
OBL-32-1,ART32-P1,ART32,Any organization or individual collecting data,Lawful and proper collection methods; prohibition on stealing data,Any organization or individual collecting data shall adopt lawful and proper methods and shall not steal data or obtain them by other illegal means.,KB 2/China/Data Security Law of China.pdf
OBL-32-2,ART32-P2,ART32,Any organization or individual collecting or using data,Collection and use within the purpose and scope prescribed by law,"Where any law and administrative regulation contains provisions on the purpose or scope of data collection or use, data shall be collected and used for the purpose and within the scope prescribed by such law and administrative regulation.",KB 2/China/Data Security Law of China.pdf
OBL-33-1,ART33-P1,ART33,Institutions engaging in data transaction intermediary services,"Require explanation of data source, verify identity of both parties, retain records","Institutions engaging in data transaction intermediary services shall, when providing their services, require the data providers to explain the source of data, examine and verify the identity of both parties to the transaction, and retain examination, verification, and transaction records.",KB 2/China/Data Security Law of China.pdf
OBL-34-1,ART34-P1,ART34,Service providers of services related to data handling,Obtain administrative license where required,"Where any law and administrative regulation stipulates that administrative license shall be obtained before providing any service related to data handling, the service providers shall obtain such license in accordance with the law.",KB 2/China/Data Security Law of China.pdf
OBL-35-1,ART35-P1,ART35,"Public security organs, national security organs, and relevant organizations and individuals",Strict approval procedures for data access; duty of cooperation,"Where public security organs and national security organs need to consult any data in order to safeguard national security or investigate a crime in accordance with the law, they shall, in accordance with the relevant provisions of the State, undergo strict approval procedures and proceed with the matter in accordance with the law; and the relevant organizations and individuals shall render cooperation.",KB 2/China/Data Security Law of China.pdf
OBL-36-1,ART36-P1,ART36,Any organization or individual within the territory of the People's Republic of China,No provision of data to foreign judicial or law enforcement bodies without approval,"The competent authority of the People's Republic of China shall handle the request for providing any data from a foreign judicial body and law enforcement body in accordance with relevant laws and the international treaty or agreement which the People's Republic of China has concluded or acceded to, or under the principle of equality and mutual benefit. Any organization or individual within the territory of the People's Republic of China shall not provide any foreign judicial body and law enforcement body with any data stored within the territory of the People's Republic of China without the approval of the competent authority of the People's Republic of China.",KB 2/China/Data Security Law of China.pdf
OBL-38-1,ART38-P1,ART38,State organs,Collection and use of data within statutory duties; confidentiality,"Where any state organ needs to collect or use data to perform its statutory duties, it shall do so within the scope of its statutory duties and according to the conditions and procedures prescribed in laws and administrative regulations; any data it comes to know in the course of performing its duties, including personal privacy, personal information, trade secret and confidential business information, shall be kept confidential and shall not be leaked or illegally provided to others.",KB 2/China/Data Security Law of China.pdf
OBL-39-1,ART39-P1,ART39,State organs,Establish data security management systems and ensure security of government data,"State organs shall, in accordance with laws and administrative regulations, establish and perfect data security management systems, implement data security protection responsibilities, and ensure the security of government data.",KB 2/China/Data Security Law of China.pdf
OBL-40-1,ART40-P1,ART40,State organs and entrusted parties,Strict approval and supervision of entrusted government data processing,"Where state organs entrust others maintain and construct any government system, or to store or process government data, they shall undergo strict approval procedures, and shall supervise the entrusted parties in terms of their fulfillment of the corresponding data security protection obligations. The entrusted parties shall perform their data security protection obligations in accordance with laws, regulations and any contractual agreement, and shall not retain, use, leak or provide to others any government data without permission.",KB 2/China/Data Security Law of China.pdf
OBL-41-1,ART41-P1,ART41,State organs,Prompt and accurate publication of government data,"State organs shall promptly and accurately publish government data as required under the principles of fairness, impartiality, and convenience for the people, except where the data shall not be disclosed in accordance with the law.",KB 2/China/Data Security Law of China.pdf
