penalty_id,paragraph_id,article_id,violation,sanctions,entity_fine_min,entity_fine_max,individual_fine_min,individual_fine_max,text,source_document
PEN-45-1,ART45-P1,ART45,"Failure to fulfil the data security obligations stipulated in Articles 27, 29, and 30",order to make correction; warnings; fine on organization; fine on directly responsible officers; suspension of business; revocation of business permits or business license,"CNY50,000","CNY500,000","CNY10,000","CNY100,000","Where any organization and individual fails to fulfill the data security obligations stipulated in Articles 27, 29, and 30 hereof in conducting data handling activities, relevant competent departments shall order such organization and individual to make correction, give warnings, and may impose a fine of no less than CNY50,000 but no more than CNY500,000 concurrently; the directly responsible officers and other persons directly liable may be imposed a fine of no less than CNY10,000 but no more than CNY100,000; those who refuse to make correction or cause major data leakages or other serious consequences shall be imposed a fine of no less than CNY500,000 but no more than CNY2 million, and may concurrently be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license; and the directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY50,000 but no more than CNY200,000.",KB 2/China/Data Security Law of China.pdf
PEN-45-1B,ART45-P1,ART45,Refusal to make correction or causing major data leakages or other serious consequences,fine on organization; fine on directly responsible officers; suspension of relevant business or stop operation for rectification; revocation of relevant business permits or business license,"CNY500,000",CNY2 million,"CNY50,000","CNY200,000","Where any organization and individual fails to fulfill the data security obligations stipulated in Articles 27, 29, and 30 hereof in conducting data handling activities, relevant competent departments shall order such organization and individual to make correction, give warnings, and may impose a fine of no less than CNY50,000 but no more than CNY500,000 concurrently; the directly responsible officers and other persons directly liable may be imposed a fine of no less than CNY10,000 but no more than CNY100,000; those who refuse to make correction or cause major data leakages or other serious consequences shall be imposed a fine of no less than CNY500,000 but no more than CNY2 million, and may concurrently be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license; and the directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY50,000 but no more than CNY200,000.",KB 2/China/Data Security Law of China.pdf
PEN-45-2,ART45-P2,ART45,"Violation of the management system for core data of the State causing harm to national sovereignty, security and development interests",fine; order to suspend relevant business or stop operation for rectification; revocation of relevant business permits or business license; criminal liability if a crime is constituted,CNY2 million,CNY10 million,,,"Those who violate the management system for core data of the State and cause harm to the national sovereignty, security and development interests shall be imposed a fine of no less than CNY2 million but no more than CNY10 million by relevant competent departments, and shall be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license, as appropriate; if a crime is constituted, they shall be held criminally liable in accordance with the law.",KB 2/China/Data Security Law of China.pdf
PEN-46-1,ART46-P1,ART46,Providing important data to a party outside the territory of the People's Republic of China in violation of Article 31,order to make correction; warnings; fine on organization; fine on directly responsible officers,"CNY100,000",CNY1 million,"CNY10,000","CNY100,000","Those who provide any important data to a party outside the territory of the People's Republic of China in violation of Article 31 hereof shall be ordered to make correction and given warnings by relevant competent departments, and may be imposed a fine of no less than CNY100,000 but no more than CNY1 million concurrently; the directly responsible officers and other persons directly liable may be imposed a fine of no less than CNY10,000 but no more than CNY100,000. In case of serious circumstances, they shall be imposed a fine of no less than CNY1 million but no more than CNY 10 million, and may be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license; the directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY100,000 but no more than CNY1 million.",KB 2/China/Data Security Law of China.pdf
PEN-46-1B,ART46-P1,ART46,Serious circumstances of providing important data outside the territory in violation of Article 31,fine on organization; suspension of relevant business or stop operation for rectification; revocation of relevant business permits or business license; fine on directly responsible officers,CNY1 million,CNY 10 million,"CNY100,000",CNY1 million,"Those who provide any important data to a party outside the territory of the People's Republic of China in violation of Article 31 hereof shall be ordered to make correction and given warnings by relevant competent departments, and may be imposed a fine of no less than CNY100,000 but no more than CNY1 million concurrently; the directly responsible officers and other persons directly liable may be imposed a fine of no less than CNY10,000 but no more than CNY100,000. In case of serious circumstances, they shall be imposed a fine of no less than CNY1 million but no more than CNY 10 million, and may be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license; the directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY100,000 but no more than CNY1 million.",KB 2/China/Data Security Law of China.pdf
PEN-47-1,ART47-P1,ART47,Failure of a data transaction intermediary organization to perform the obligations stipulated in Article 33,"order to make correction; confiscation of illegal income; fine of no less than one but no more than ten times the illegal income; where there is no illegal income or it is less than CNY100,000, a fine; suspension of business; revocation of business permits or licenses; fine on directly responsible officers","CNY100,000",CNY1 million,"CNY10,000","CNY100,000","Where any data transaction intermediary organization fails to perform the obligations stipulated in Article 33 hereof, relevant competent departments shall order it to make correction, confiscate any illegal income, and impose a fine of no less than one but no more than ten times the illegal income; where there is no illegal income or the illegal income is less than CNY100,000, a fine of no less than CNY100,000 but no more than CNY1 million shall be imposed, and the relevant competent departments may order such organization to suspend relevant businesses, stop its operation for rectification, or revoke the relevant business permits or business licenses; the directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY10,000 but no more than CNY100,000.",KB 2/China/Data Security Law of China.pdf
PEN-48-1,ART48-P1,ART48,Refusal to cooperate in data access in violation of Article 35,order to make correction; warnings; fine on organization; fine on directly responsible officers,"CNY50,000","CNY500,000","CNY10,000","CNY100,000","Those who refuse to cooperate in data access in violation of Article 35 hereof shall be ordered to make correction and given warnings and may be imposed a fine of no less than CNY50,000 but no more than CNY500,000 concurrently by relevant competent departments; their directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY10,000 but no more than CNY100,000.",KB 2/China/Data Security Law of China.pdf
PEN-48-2,ART48-P2,ART48,Providing data to any foreign judicial or law enforcement body without approval in violation of Article 36,warnings; fine on organization; fine on directly responsible officers,"CNY100,000",CNY1 million,"CNY10,000","CNY100,000","Those who provide any data to any foreign judicial or law enforcement body without approval of competent departments in violation of Article 36 hereof shall be given warnings, and may be imposed a fine of no less than CNY100,000 but no more than CNY1 million concurrently by relevant competent departments; their directly responsible officers and other persons directly liable may be imposed a fine of no less than CNY10,000 but no more than CNY100,000. In case of serious consequences, they shall be imposed a fine of no less than CNY1 million but no more than CNY5 million, and may be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license; their directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY50,000 but no more than CNY500,000.",KB 2/China/Data Security Law of China.pdf
PEN-48-2B,ART48-P2,ART48,Serious consequences of providing data to a foreign judicial or law enforcement body without approval,fine on organization; suspension of relevant business or stop operation for rectification; revocation of relevant business permits or business license; fine on directly responsible officers,CNY1 million,CNY5 million,"CNY50,000","CNY500,000","Those who provide any data to any foreign judicial or law enforcement body without approval of competent departments in violation of Article 36 hereof shall be given warnings, and may be imposed a fine of no less than CNY100,000 but no more than CNY1 million concurrently by relevant competent departments; their directly responsible officers and other persons directly liable may be imposed a fine of no less than CNY10,000 but no more than CNY100,000. In case of serious consequences, they shall be imposed a fine of no less than CNY1 million but no more than CNY5 million, and may be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license; their directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY50,000 but no more than CNY500,000.",KB 2/China/Data Security Law of China.pdf
PEN-49-1,ART49-P1,ART49,Failure of a state organ to perform its data security protection obligations provided for herein,sanction of the directly responsible officers and other persons directly liable in accordance with the law,,,,,"Where any state organ fails to perform its data security protection obligations provided for herein, the directly responsible officers and other persons directly liable shall be sanctioned in accordance with the law.",KB 2/China/Data Security Law of China.pdf
