annexitem_id,annex_id,number,text,source_document
Annex1-1,Annex1,1,Make (trade name of manufacturer):,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-2,Annex1,2,Type and general commercial description(s):,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-3,Annex1,3,"Means of identification of type, if marked on the vehicle:",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-4,Annex1,4,Location of that marking:,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-5,Annex1,5,Category(ies) of vehicle:,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-6,Annex1,6,Name and address of manufacturer/ manufacturer's representative:,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-7,Annex1,7,Name(s) and Address(es) of assembly plant(s):,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-8,Annex1,8,Photograph(s) and/or drawing(s) of a representative vehicle:,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-9,Annex1,9,Cyber Security,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-9.1,Annex1,9.1,"General construction characteristics of the vehicle type, including: (a) The vehicle systems which are relevant to the cyber security of the vehicle type; (b) The components of those systems that are relevant to cyber security; (c) The interactions of those systems with other systems within the vehicle type and external interfaces.",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-9.2,Annex1,9.2,Schematic representation of the vehicle type,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-9.3,Annex1,9.3,The number of the Certificate of Compliance for CSMS:,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-9.4,Annex1,9.4,Documents for the vehicle type to be approved describing the outcome of its risk assessment and the identified risks:,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-9.5,Annex1,9.5,"Documents for the vehicle type to be approved describing the mitigations that have been implemented on the systems listed, or to the vehicle type, and how they address the stated risks:",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
Annex1-9.6,Annex1,9.6,"Documents for the vehicle type to be approved describing protection of dedicated environments for aftermarket software, services, applications or data:",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
